num_var,ngo_name,ngo_address,reg_no,reg_date,renewed_on,valid_until,district,county,remarks
11,Al Basher International,"1/9, Block-E, Satmasjid",,22-Sep-92,22-Sep-17,22-Sep-27,Dhaka,Saudi Arabia,
,Foundation,"Road, Lalmatia, Dhaka,",,,,,,,
,,"Phone :9135451-2,",,,,,,,
,,Fax: 8114142,,,,,,,
12,Al Haramain Islamic,"House-1, Road-1,",648,17-Sep-92,17-Sep-02,17-Sep-07,Dhaka,Saudi Arabia,Office &
,Foundation,"Sector-6, Uttara, Dhaka",,,,,,,Operation closed
,,Phone : 8912120,,,,,,,in Bangladesh
,,,,,,,,,from 2004.
13,Alacrity for Poverty,"22, Amirabad,",641,30-Jul-92,30-Jul-17,30-Jul-27,Chittagong,South Korea,
,Alleviation in,"Mahedibag R/A,",,,,,,,
,Bangladesh (APAB),Chittagong-4000,,,,,,,
,,"Phone: 031-613028,",,,,,,,
,,Fax: 031-610785,,,,,,,
14,Al-Forqan Foundation,"137 Auspara, Tongi,",1791,22-Jan-03,22-Jan-18,22-Jan-28,Dhaka,Saudi Arabia,
,,Gazipur.,,,,,,,
,,"Phone: 9802014,",,,,,,,
,,9802015,,,,,,,
,,Fax: 9803005,,,,,,,
15,Al-Khair Foundation,"141, South Bishil, Mirpur,",3161,2-Aug-18,,2-Aug-28,Dhaka,UK,
,Bangladesh Field Office,Dhaka.,,,,,,,
,,Mob: 01711965422,,,,,,,
16,American Center for,"House-09, Road-127,",18,22-Apr-81,15-May-15,15-May-20,Dhaka,USA,
,International Labour,"Gulshan-01, Dhaka-",,,,,,,
,Solidarity,1212,,,,,,,
,,"Phone: 8828403, Fax:",,,,,,,
,,8820208,,,,,,,
,,www.solidaritycenter.or,,,,,,,
,,g,,,,,,,
17,Amrock Academy,"19, Akbarbad Estate,",2657,22-Sep-11,22-Sep-16,22-Sep-21,Khulna,USA,
,Society,"Shirishnagar, Khulna-",,,,,,,
,,9100,,,,,,,
,,Phone: 041-721589,,,,,,,
,,www.amaroksociety.org,,,,,,,
18,Andheri Hilfe,"House-380, Road-28,",2635,6-Apr-11,6-Apr-16,6-Apr-21,Dhaka,Germany,
,Bangladesh,"New DOHS, Mohakhali,",,,,,,,
,,Dhaka.,,,,,,,
,,Phone: 01754-445505,,,,,,,
19,Apasenth International,"House-82, Road-16,",3096,30-Oct-17,,30-Oct-27,Dhaka,UK,
,,"Sector-11, Uttara,",,,,,,,
,,Dhaka,,,,,,,
,,Phone: 0171221857,,,,,,,
20,Arsenic Mitigation and,"Shologhar Bus Stand,",1844,19-Jun-03,19-Jun-18,19-Jun-28,Munshiganj,Netherlands,
,Research Foundation,"Vill: Shologhar, UZ:",,,,,,,
,,"Sreenagor, Dist:",,,,,,,
,,Munshiganj.,,,,,,,
,,Phone: 01711-391521,,,,,,,
21,Article 19,"House-1/B, Road-01,",2705,29-May-12,29-May-17,29-May-27,Dhaka,UK,
,,"2nd Floor, Shaymoli,",,,,,,,
,,Dhaka.,,,,,,,
,,Phone: 01713-039669,,,,,,,
22,ASHOKA : Innovators,"House-19/1, (2nd floor),",403,13-Nov-90,10-Nov-01,10-Nov-06,Dhaka,USA,
,for the Public,"R-15(New), 28(Old),",,,,,,,
,,"Dhanmondi R/A,",,,,,,,
,,Dhaka.,,,,,,,
,,Phone : 8115868,,,,,,,
23,Asia Arsenic Network,"House-46, Road-13/C,",1609,16-Jan-01,16-Jan-16,16-Jan-21,Dhaka,Japan,
,,"Block-E, Banani, Dhaka-",,,,,,,
,,1213,,,,,,,
,,"Phone: 9894493, Fax:",,,,,,,
,,9894498,,,,,,,
24,Asian Disaster,"House-477, Roomy",2641,10-May-11,10-May-16,10-May-21,Dhaka,Thailand,
,Preparedness Centre,"House (3rd Floor),",,,,,,,
,,"Road-32, New DOHS,",,,,,,,
,,"Mohakhali, Dhaka",,,,,,,
,,Phone: 8871951,,,,,,,
,,www.adpc.net,,,,,,,
25,Asian Industrial and,"House # 1/E, Road # 2,",752,18-Sep-93,18-Sep-03,18-Sep-08,Dhaka,Japan,
,Technical Development,"Sector # 3, Uttara,",,,,,,,
,Association (AITDA),Dhaka,,,,,,,
,,Phone : 231669,,,,,,,
26,Assemblies of God,"401/1, New Eskaton",107,3-Sep-81,16-May-16,16-May-26,Dhaka,USA,
,Mission,"Road, Dhaka",,,,,,,
,,"Phone :8316452, Fax:",,,,,,,
,,8313978,,,,,,,
27,Association of Baptist,"7, Rashik Hazari Lane,",42,22-Apr-81,15-May-15,15-May-20,Chittagong,USA,
,,"Chawk Bazar,",,,,,,,
,,Chittagong,,,,,,,
,,"Phone : 624174,",,,,,,,
,,610548,,,,,,,
28,Association of Medical,"House-27, Road-114,",657,20-Oct-92,20-Oct-12,20-Oct-22,Dhaka,Japan,
,Doctors for Asia (AMDA),"Gulshan, Dhaka",,,,,,,
,,Phone : 8827575,,,,,,,
29,Austcare,Niribili Pital Building,2382,31-Jul-08,,31-Jul-13,Cox'sBazar,Australia,
,,"(1st Floor), House-49,",,,,,,,
,,"Block-B, Soykat R/A,",,,,,,,
,,Cox'sBazar,,,,,,,
30,Australian Baptist,"Jarina Cottage, 110,",93,22-Apr-81,15-May-15,15-May-20,Dhaka,Australia,
,"Misionary Society, The","Monipuripara, Gate-01,",,,,,,,
,,"Tejgaon, Dhaka-1215",,,,,,,
,,"Phone: 9102325, Fax:",,,,,,,
,,9102324,,,,,,,
31,Bangladesh,"125, 9/A (Old),",2433,30-Apr-09,,30-Apr-14,Dhaka,UK,
,Development Initiative,"Shankar, Dhanmondi,",,,,,,,
,,Dhaka-1209.,,,,,,,
32,Bangladesh Every,"38, Dilu Road, New",87,22-Apr-81,15-May-15,15-May-20,Dhaka,USA,
,Home Contact,"Eskatan, Dhaka",,,,,,,
,,Phone : 9332714,,,,,,,
33,Bangladesh Japan,"House # 1862, Block-4,",1044,3-Jun-96,,3-Jun-01,Jamalpur,Japan,
,Institutional Social,"Matrisadan Road,",,,,,,,
,Welfare Organization,Jamalpur.,,,,,,,
34,Bangladesh Lutheran,"3/13, Iqbal Road,",103,3-Sep-81,15-May-05,15-May-10,Dhaka,Denmark,
,"Mission, Danish (BLM-","Mohammadpur, Dhaka",,,,,,,
,D),Phone : 9129747,,,,,,,
35,Bangladesh Lutheran,"Bangabaria, Naogaon-",49,22-Apr-81,15-May-15,15-May-20,Naogaon,Finland,
,"Mission, Finnish",6500,,,,,,,
,,Phoe: 0741-62421,,,,,,,
36,Bangladesh Lutheran,"House # 50, Road # 1,",128,11-Apr-82,,11-Apr-87,Dhaka,Norway,
,"Mission, Norwegian","Banani, Dhaka",,,,,,,
,(BLM-N),Phone :,,,,,,,
37,Bangladesh Mission,"2, Mirpur Road,",44,27-Aug-81,15-May-10,15-May-15,Dhaka,USA,
,Foreign Mission Board,"Kalyanpur, Dhaka",,,,,,,
,Southern Baptist,"Phone : 8054224, Fax:",,,,,,,
,Convension,8013580,,,,,,,
38,Bangladeshi Mental,"House-13, Road-1,",1782,31-Dec-02,31-Dec-07,31-Dec-12,Dhaka,UK,
,Health Association,"Block-A, Sector-11,",,,,,,,
,,"Mirpur, Dhaka",,,,,,,
39,Baptist Mid Mission,Baptish Mid Missions,115,30-Dec-81,15-May-15,15-May-20,Natore,USA,
,Bangladesh,"Hospital, Borohorispur,",,,,,,,
,,Natore-6400,,,,,,,
,,"Phone : 0771-62386,",,,,,,,
,,01711-070468,,,,,,,
40,Baptist Missionary,"137, Jahanara Garden,",129,21-Nov-82,15-May-95,15-May-00,Dhaka,UK,
,Society (British),"Green Road, Dhaka",,,,,,,
41,BASUG-Diaspora &,"DIPSHIKHA Bhaban,",2683,6-Mar-12,6-Mar-17,6-Mar-22,Dhaka,Netherlands,
,Development,"282/5, 1st Colony,",,,,,,,
,(Bangladesh Chapter),"Mazar Road, Mirpur-01,",,,,,,,
,,Dhaka-1216,,,,,,,
,,Phone: 01714-045547,,,,,,,
42,BBC World Service,Basati Aristocrats (5th,2404,27-Jan-09,,27-Jan-14,Dhaka,UK,
,Trust,"Floor), Plot-06, Block-",,,,,,,
,,"SWH, Gulshan Avenue,",,,,,,,
,,"Gulshan, Dhaka-1212",,,,,,,
43,BHN Association,"Mallika, 24/5,",2767,26-Feb-13,,26-Feb-18,Dhaka,Japan,
,,"Prominent Housing, 3",,,,,,,
,,"Piciculture Road,",,,,,,,
,,"Mohammadpur, Dhaka.",,,,,,,
,,Phone: 01713-130666,,,,,,,
44,Calvary Apostolic,"PO: KUET, Daulatupr,",106,3-Sep-81,15-May-10,15-May-15,Khulna,USA,
,Church,Khulna-9203,,,,,,,
,,Phone: 041-2870024,,,,,,,
45,Canadian University,"House # 54, Road # 3A",15,22-Apr-81,,22-Apr-86,Dhaka,Canada,
,Service Overseas,"(New), Dhanmondi",,,,,,,
,(CUSO),"R.A., Dhaka",,,,,,,
46,CAP Anamur,House-70-71 (3rd,2307,20-Feb-08,20-Feb-18,20-Feb-28,Dhaka,Germany,
,,"Floor), Road-3, Janata",,,,,,,
,,"Housing Society, Ring",,,,,,,
,,"Road, Adabar,",,,,,,,
,,"Mohammadpur, Dhaka-",,,,,,,
,,1207,,,,,,,
47,CARE-Bangladesh,Retired Army Officers,4,22-Apr-81,15-May-15,15-May-20,Dhaka,USA,
,,Welfare,,,,,,,
,,Association(RAOWA),,,,,,,
,,"Convention Center, VIP",,,,,,,
,,"Road Mohakhali,",,,,,,,
,,"Dhaka-1206,",,,,,,,
,,email:info@bd.care.org,,,,,,,
48,Caritas Switzerland,"House-9/A (5th Floor),",2848,5-Feb-14,5-Feb-19,5-Feb-29,Dhaka,Switzerland,
,,"Road-15 (New),",,,,,,,
,,"Dhanmondi, Dhaka.",,,,,,,
,,Phone: 9114133,,,,,,,
49,Center for Orientation,"House-443/1, Christian",2476,25-Aug-09,,25-Aug-14,Khulna,Italy,
,and Educational (COE),"Para, Boro Boyra,",,,,,,,
,,Khulna-9000,,,,,,,
,,Phone: 01710-0963787,,,,,,,
50,Ceshires Foundation,"Sonargaon Janapath,",138,1-Apr-83,14-May-15,14-May-20,Dhaka,UK,
,Homes-Bangladesh,"House-32, Sector-9,",,,,,,,
,,"Uttara Model Town,",,,,,,,
,,Dhaka-1230,,,,,,,
,,Phone: 8911276,,,,,,,
51,Chal Chal Foundation,"147, DOHS. Lane-4,",1054,1-Aug-96,,1-Aug-01,Dhaka,USA,
,,"Eastern Road, Dhaka",,,,,,,
52,Christan Service,"151/5, Manipuripara",770,11-Nov-93,11-Nov-13,11-Nov-18,Dhaka,USA,
,International,"(1st floor), Tejgaon,",,,,,,,
,,Dhaka.,,,,,,,
,,Phone : 9133756,,,,,,,
53,Christian Aid,"Apt F-3, House-1/A,",1579,25-Oct-00,25-Oct-15,25-Oct-20,Dhaka,UK,
,,"Road-35, Gulshan-2,",,,,,,,
,,Dhaka-1212,,,,,,,
,,Phone: 9859736-7,,,,,,,
,,www.christianaid.org,,,,,,,
54,Churches of God,"Mission House, Gohail",6,22-Apr-81,15-May-15,15-May-20,Bogra,USA,
,Mission,"Road, Sutrapur, Bogra-",,,,,,,
,,5800,,,,,,,
,,Phone : 051-66521,,,,,,,
55,Community Recovery,"House-104, Road-19,",2885,21-Aug-14,,21-Aug-19,Dhaka,USA,
,International,"Sector-11, Uttara,",,,,,,,
,Bangladesh,Dhaka,,,,,,,
,,Phone: 01772-125589,,,,,,,
56,Compassion,"House-53, Road-10,",2378,21-Jul-08,21-Jul-18,21-Jul-28,Dhaka,USA,
,International,"Block-E, Banani,",,,,,,,
,Bangladesh,Dhaka.,,,,,,,
,,"Phone: 9860077, Fax:",,,,,,,
,,9888597,,,,,,,
,,www.compassion.com,,,,,,,
57,CONCERN - Worldwide,"House-15, SW(D),",31,22-Apr-81,15-May-16,15-May-21,Dhaka,Ireland,
,,"Road-07, Gulshan-01,",,,,,,,
,,Dhaka-1212,,,,,,,
,,Phone: 58811469,,,,,,,
,,Fax: 8817517,,,,,,,
,,www.concern.net,,,,,,,
58,Co-operation in,"Ward-06, Post: Char",99,7-Jun-91,7-Jul-16,7-Jul-21,Bhola,Australia,
,Development of,"Fassion, Dist: Bhola-",,,,,,,
,Bangladesh,8340,,,,,,,
,,Phone: 01715050340,,,,,,,
,,www.fredhyde.org,,,,,,,
59,Counterpart International,"House-14(3rd Fl.),",2811,25-Aug-13,25-Aug-18,25-Aug-28,Dhaka,USA,
,Inc.,"Road-32, Gulshan-1,",,,,,,,
,,Dhaka.,,,,,,,
,,"Phone: 9851021, Fax:",,,,,,,
,,9851042,,,,,,,
60,DAKBHANGA,"Nur Villa (Gr. Floor),",1952,31-Aug-04,31-Aug-14,31-Aug-19,Cox'sBazar,Belgium,
,,"Thana Road, Sipahi",,,,,,,
,,"Para, Ramu,",,,,,,,
,,Cox'sBazar.,,,,,,,
,,"Phone: 01711-112159,",,,,,,,
,,"01819-928751, 01819-",,,,,,,
,,934935,,,,,,,
61,Damien Foundation,"House-24, Road-18,",583,1-Nov-92,11-Jan-17,11-Jan-22,Dhaka,Belgium,
,,"Block-A, Banani Model",,,,,,,
,,"Town, Dhaka.",,,,,,,
,,"Phone : 8822189, Fax:",,,,,,,
,,8810989,,,,,,,
62,Dan Church Aid,"House-83, Apart-A/3,",2596,14-Sep-10,14-Sep-15,14-Sep-20,Dhaka,Denmark,
,,"Road-23, Gulshan,",,,,,,,
,,Dhaka.,,,,,,,
,,Phone: 8834343,,,,,,,
,,www.danchurch.org,,,,,,,
63,Danish Bangladesh,"House-483, Road-32,",39,27-Aug-81,15-May-15,15-May-20,Dhaka,Denmark,
,Laprosy Mission,Mohakhali DOHS,,,,,,,
,,"(New), Dhaka-1206",,,,,,,
,,Phone: 9882058,,,,,,,
,,www.leprosymission.or,,,,,,,
,,g,,,,,,,
64,Danish Refugee Council,"House-112/2, Road-03,",2804,30-Jul-13,30-Jul-18,30-Jul-28,Dhaka,Denmark,
,,"Block-F, 3rd Floor,",,,,,,,
,,"Banani, Dhaka-1213",,,,,,,
,,Phone: 01715-895509,,,,,,,
65,DIAKONIA / Swedish,"House-5/8, First floor,",1,22-Apr-81,15-May-15,15-May-20,Dhaka,Sweden,
,Free Church Aid,"Block-B, Lalmatia,",,,,,,,
,,Dhaka,,,,,,,
,,"Phone : 9121256, Fax:",,,,,,,
,,9121257,,,,,,,
,,www.diakonia.selenglis,,,,,,,
,,h,,,,,,,
66,Education and,"Road-34, House-504",1452,5-Dec-99,5-Dec-14,5-Dec-19,Dhaka,Spain,
,Development,"(2nd, 3rd, 4th Floors),",,,,,,,
,Foundation-Educo,"Mohakhali DOHS,",,,,,,,
,,"Dhaka-1206,",,,,,,,
,,"Phone:8813246,",,,,,,,
,,8816367,,,,,,,
,,www.intervida.org,,,,,,,
67,Enfants Du Monde,"House 9/A(3rd Floor),",76,22-Apr-81,15-May-15,15-May-20,Dhaka,Switzerland,
,(International Union for,"Rd-15(New),",,,,,,,
,Child Welfare),"Dhanmondi R/A.,",,,,,,,
,,Dhaka,,,,,,,
,,"Phone : 9114133, Fax:",,,,,,,
,,8112838,,,,,,,
68,Engender Health Int.,"Concord Royal Court,",3179,11-Dec-18,,11-Dec-28,Dhaka,USA,
,,"House-40, Road-27 (16",,,,,,,
,,"New), Dhanmondi,",,,,,,,
,,"Dhaka-1209, Phone:02-",,,,,,,
,,58156202,,,,,,,
69,F H Association,"House # 81, Road-04,",102,28-Aug-81,16-Jul-15,16-Jul-20,Dhaka,Netherlands,
,,"Block # B, Banani,",,,,,,,
,,Dhaka.,,,,,,,
,,"Phone : 9880826,",,,,,,,
,,9894382,,,,,,,
70,Families for Children,"House-01, Road-10,",48,22-Apr-81,15-May-15,15-May-20,Dhaka,Canada,
,,"Sector-09, Uttara,",,,,,,,
,,Dhaka-1230,,,,,,,
,,"Phone: 5895219, Fax:",,,,,,,
,,8918197-8,,,,,,,
71,Family Health,"House-05, Road-35,",2258,8-Aug-07,8-Aug-17,8-Aug-27,Dhaka,USA,
,International,"Gulshan-2, Dhaka-1212",,,,,,,
,,"Phone: 9887561, Fax:",,,,,,,
,,9887563,,,,,,,
,,www.fhi.org,,,,,,,
72,Fida International,"346 East Padardia,",38,22-Apr-81,15-May-15,15-May-20,Dhaka,Finland,
,Bangladesh,"Satarkul Road, North",,,,,,,
,,"Badda, Dhaka-1212",,,,,,,
,,Phone: +88-02-,,,,,,,
,,9895698,,,,,,,
73,Friedrich Ebert Stiftung,"House-89(West), Road-",2773,18-Mar-13,18-Mar-18,18-Mar-28,Dhaka,Germany,
,(FES),"04, Block-B, Banani,",,,,,,,
,,Dhaka-1213,,,,,,,
,,Phone: 880 2 9855095,,,,,,,
74,Friedrich Naumann,"House-21, Road-11,",2675,14-Feb-12,14-Feb-17,14-Feb-27,Dhaka,Germany,
,Foundation,"Sector-06, Uttara,",,,,,,,
,,Dhaka.,,,,,,,
,,Phone: 8913953,,,,,,,
75,Friends of Bangladesh-,"Dattapara, Tongi,",174,19-Nov-84,21-May-15,21-May-20,Gazipur,USA,
,USA,Gazipur,,,,,,,
,,Phone : 9801409,,,,,,,
76,Fundacion Ayuda,"Vill.: Choto Gara,",2417,2-Mar-09,,2-Mar-14,Netrakona,Spain,
,Humanatarian A,Post+Thana:,,,,,,,
,Bangladesh an Espana,"Netrakona, Dist:",,,,,,,
,,Netrakona.,,,,,,,
,,Phone: 01718-023499,,,,,,,
77,Fundacion ETEA Para,"House-Ta-118/3,",2728,12-Sep-12,,12-Sep-17,Dhaka,Spain,
,EL Desarrollo Y LA,"Middle Badda, Pragoti",,,,,,,
,Cooperacion,"Sharani, Gulshan,",,,,,,,
,,Dhaka-1212,,,,,,,
,,"Phone: 02-883706,",,,,,,,
,,01713-161201,,,,,,,
78,Gender and Water,"House-16, Road-30,",2897,19-Oct-14,,19-Oct-19,Dhaka,Netherlands,
,Alliance (GWA),"Gulshan-1, Dhaka",,,,,,,
,,Phone: 01743-800963,,,,,,,
79,Global One,"House-3/1, Block-F,",2866,15-Jun-14,,15-Jun-19,Dhaka,UK,
,,"Flat-5C, Lalmatia,",,,,,,,
,,Dhaka,,,,,,,
,,Phone: 01701663690,,,,,,,
80,Global Vision,"House-23(6th Floor),",2870,10-Jul-14,,10-Jul-19,Dhaka,South Korea,
,,"Road-16, Sector-12,",,,,,,,
,,"Uttara, Dhaka-1230",,,,,,,
,,"Phone: 01726-593857,",,,,,,,
,,01761-926518,,,,,,,
81,Global-2000 Inc.,"House # G-12, Road #",425,24-Dec-90,,24-Dec-95,Dhaka,USA,
,,"9, Banani, Dhaka",,,,,,,
82,Good Neighbours Inc. in,"Plot # 05, Road # 02,",1056,18-Aug-96,18-Aug-16,18-Aug-21,Dhaka,South Korea,
,Bangladesh,"Block-A, Barua,",,,,,,,
,,"Khilkhet, Dhaka-1229,",,,,,,,
,,IP Phone: +88-,,,,,,,
,,9613858585,,,,,,,
,,Fax: +88-02-8412029,,,,,,,
,,www.gnbangla.org,,,,,,,
83,Good People World,"House-288, Lane-4,",2076,1-Mar-06,,1-Mar-11,Dhaka,USA,
,Family in Bangladesh,East D.O.H.S.,,,,,,,
,(GPW-BD),"Baridhara, Dhaka-1206",,,,,,,
84,Good Peoples,"250/1, Second Colony,",2706,30-May-12,30-May-17,30-May-27,Dhaka,South Korea,
,International,"Mazar Road, Dhaka.",,,,,,,
,Bangladesh,Phone: 01713-062637,,,,,,,
85,Grameen Welfare Smile,"7144 Eastern Plaza,",2619,2-Jan-11,,2-Jan-16,Dhaka,UK,
,Charity,"Hatirpool, Dhaka.",,,,,,,
,,Phone: 01517-031737,,,,,,,
86,Green Life-UK,"S-15, Nurjahan Road",2285,8-Nov-07,8-Nov-12,8-Nov-17,Dhaka,UK,
,,"(3rd Floor),",,,,,,,
,,"Mohammadpur, Dhaka-",,,,,,,
,,1207,,,,,,,
,,Phone: 01711-248950,,,,,,,
87,Habitate for Humanity,"Road-23/B, House-07,",1357,21-Mar-99,21-Mar-19,21-Mar-29,Dhaka,USA,
,International,"Gulshan-01, Dhaka-",,,,,,,
,,1212,,,,,,,
,,Phone: 8832945,,,,,,,
,,www.habitatbangladesh,,,,,,,
,,.org,,,,,,,
88,Handicap International,"House-SW(F) 1/A,",1575,15-Oct-00,15-Oct-15,15-Oct-20,Dhaka,France,
,,"Road-4, Gulshan-1,",,,,,,,
,,Dhaka-1212,,,,,,,
,,Phone: +88-02-,,,,,,,
,,"9859794, Fax: +88-02-",,,,,,,
,,8819128,,,,,,,
,,www.handicapinternatio,,,,,,,
89,Health And Education,"House-31, Road-16,",3133,11-Jan-18,,11-Jan-28,Dhaka,USA,
,For All (HAEFA),"Sector-13, Uttara.",,,,,,,
,,"Dhaka-1230, Mob:",,,,,,,
,,01720-025643,,,,,,,
,,email:,,,,,,,
,,healthonwheels.usa@g,,,,,,,
,,"mail.com,",,,,,,,
,,nazrul.kabir@yahoo.co,,,,,,,
,,m,,,,,,,
90,Heart to Heart,"Vill: Karamtola, PO:",2919,23-Feb-15,,23-Feb-20,Gazipur,South Korea,
,Foundation,"Pubail, Upazila:",,,,,,,
,,"Gazipur, Dist: Gazipur",,,,,,,
,,Phone: 01715-047732,,,,,,,
91,HEKS,"House-9A (3rd Floor),",2255,24-Jul-07,24-Jul-17,24-Jul-27,Dhaka,Switzerland,
,,"East Side, Road-",,,,,,,
,,"15(New), Old-28,",,,,,,,
,,"Dhanmondi, Dhaka.",,,,,,,
,,"Phone: 9116943, Fax:",,,,,,,
,,8112838,,,,,,,
,,www.heks.ch,,,,,,,
92,Hellen Keller,"House-10F, Road-82,",20,22-Apr-81,15-May-15,15-May-20,Dhaka,USA,
,International,"Gulshan-2, Dhaka.",,,,,,,
,,"Phone: 8823055, Fax:",,,,,,,
,,9855867,,,,,,,
93,Help the Needy,48/3 Monico Mina,2833,18-Nov-13,18-Nov-18,18-Nov-28,Dhaka,UK,
,Charitable Trust,"Tower, Apartment: E-7,",,,,,,,
,,"West Agargaon, Sher-e-",,,,,,,
,,"Bangla Nagar,Dhaka-",,,,,,,
,,1207,,,,,,,
,,Phone: +8802 9101613,,,,,,,
,,Mobile: 01838-214621,,,,,,,
94,HelpAge International,"House-35/D, (1st",2493,13-Oct-09,13-Oct-14,13-Oct-19,Dhaka,UK,
,(HAI)-Bangladesh,"Floor), Block-G, Road-",,,,,,,
,,"07, Banani, Dhaka-",,,,,,,
,,1213,,,,,,,
,,Phone: 9870103,,,,,,,
,,www.helpage.org,,,,,,,
95,Helvetas,"House-13/A, NE)K),",3099,1-Nov-17,,1-Nov-27,Dhaka,Germany,
,Intercooperation,"Road-83, Gulshan-2,",,,,,,,
,German,Dhaka.,,,,,,,
,,Phone: 028815688,,,,,,,
96,Helvetas Swiss,"Hous-13/A NE(K),",1581,6-Nov-00,6-Nov-15,6-Nov-20,Dhaka,Switzerland,
,Intercooperation,"Road-83, Gulshan-2,",,,,,,,
,,Dhaka.,,,,,,,
,,"Phone: 8815688, Fax:",,,,,,,
,,8819986,,,,,,,
97,Hidaya Foundation,"Dayem Mansion, 106,",2239,28-May-07,,28-May-12,Dhaka,USA,
,,"Pilkhana Road,",,,,,,,
,,"Azimpur, Dhaka.",,,,,,,
,,"Phone: 8614058, 01552-",,,,,,,
,,636687,,,,,,,
98,Hiefur Project,"6/6, Flat-A2(2nd Floor),",2676,20-Feb-12,20-Feb-17,20-Feb-22,Dhaka,USA,
,International,"Road-05, Block-A,",,,,,,,
,Bangladesh,Lalmatia Housing,,,,,,,
,,"Estate, Dhaka-1207",,,,,,,
,,"Phone: 01755619166,",,,,,,,
,,9116742,,,,,,,
99,Hope Bangladesh,"House-236/A, Block-c,",2921,2-Apr-15,,2-Apr-20,Dhaka,South Korea,
,,"Bashundara R/A,",,,,,,,
,,Dhaka.,,,,,,,
,,Phone: 01713-020668,,,,,,,
100,Hope Foundation for,"Link Rad, Chainda,",2386,7-Sep-08,7-Sep-13,7-Sep-18,Cox'sBazar,USA,
,Women & Children of,"South Mitachari, Ramu,",,,,,,,
,Banglades Inc.,Cox'sBazar,,,,,,,
101,Hope Worldwide-,"47/9 West Rajabazar,",2393,16-Nov-08,16-Nov-13,16-Nov-18,Dhaka,USA,
,Bangladesh,"Indira Road, Tejgaon,",,,,,,,
,,Dhaka-1215.,,,,,,,
,,Phone: 01730-431932,,,,,,,
102,Human Appeal,"Unit-4A, House-10,",3092,26-Oct-17,,26-Oct-27,Dhaka,Australia,
,International,"Road-01, Sector-14,",,,,,,,
,Bangladesh,"Uttara Model Town,",,,,,,,
,,Dhaka.,,,,,,,
,,Phone: 01757160560,,,,,,,
103,Humanity First,"Road-06, House-382,",2346,14-May-08,14-May-13,14-May-23,Dhaka,UK,
,Bangladesh,"DOHS, Baridhara,",,,,,,,
,,Dhaka.,,,,,,,
104,Hunger Free World,"2/8, Block-F, Lalmatia,",1735,9-Sep-02,9-Sep-17,9-Sep-27,Dhaka,Japan,
,,Dhaka,,,,,,,
,,"Phone : 8121280,",,,,,,,
,,01711-526979,,,,,,,
