"","num_var","ngo_name","ngo_address","reg_no","reg_date","renewed_on","valid_until","district","county","remarks","type_ngo"
"11",11,"ABFA-USA-INC\ ","House-27, Road-04, Section-04, Uttara, Dhaka.","2176 ","24-Dec-06 "," ","24-Dec-11 ","Dhaka ","USA "," ","local"
"12",12,"Abohalito Nari O Shishu Kallan Songsta (ANAMIKA)  ","House-B-165, Block-B, Eastern Housing Pallabi, Phase-2, Dhaka. Phone: 8024220, 01711-007821","1951   ","17-Aug-04   ","17-Aug-14   ","17-Aug-19   ","Dhaka   ","Bangladesh   ","   ","local"
"13",13,"Abu Sobhan Welfare Trust ","House-29/A, Old DOHS Road, Banani, Dhaka.","2805 ","30-Jul-13 ","30-Jul-18 ","30-Jul-28 ","Dhaka ","Bangladesh "," ","local"
"14",14,"Academy for Educational Development (AED)  ","South Breeze, House-08, Gulshan Avenue, Gulshan-01, Dhaka. Phone: 01714-174370","2514   ","8-Nov-09   ","   ","8-Nov-14   ","Dhaka   ","USA   ","   ","local"
"15",15,"Access Bangladesh Foundation ","10 Tarapur, Savar, Dhaka. Phone: 7743145, Fax: 7743480 www.accessbangladesh.org","2461  ","18-Jun-09  ","18-Jun-14  ","18-Jun-19  ","Dhaka  ","Bangladesh  ","  ","local"
"16",16,"Access Toward Livelihood and Welfare Organisation (ALWO) ","81/80, Hazra Natore, Post: Natore-4600, PS: Natore, Dist: Natore. Phone: 0771-61255","2102   ","6-Jun-06   ","6-Jun-16   ","6-Jun-21   ","Natore   ","Bangladesh   ","   ","local"
"17",17,"ACDI/VOCA  ","House-30, Road-19/A, Banani, Dhaka-1213 Phone: 8836801","2580  ","3-Jun-10  ","3-Jun-15  ","3-Jun-20  ","Dhaka  ","USA  ","  ","local"
"18",18,"Acid Survivours Foundation    ","Plot-A/5, Level-6, CRP Bhaban, Block-A, Sec-14, Mirpur, Dhaka- 1200 Phone: 09678777148 www.acidsurvisors.org","1501    ","9-Apr-00    ","9-Apr-15    ","9-Apr-20    ","Dhaka    ","Bangladesh    ","    ","local"
"19",19,"Action Aid- Bangladesh   ","House- 8, Road-136, Gulshan- 1, Dhaka Phone :9888006, 55044851-7 www.actionaid.org","210   ","27-Apr-86   ","27-Apr-16   ","27-Apr-21   ","Dhaka   ","UK   ","   ","local"
"20",20,"Action Contre La Faim   ","House-23, Road-113/A, Gulshan-2, Dhaka. Phone: 8810132, 8810347 www.actioncontrelafaim.org","2330   ","3-Apr-08   ","3-Apr-18   ","3-Apr-28   ","Dhaka   ","France   ","   ","local"
"21",21,"Action Five  ","Gaokura, Kacharipara, Islampur, Jamalpur Phone: 01728-782643","2830  ","4-Nov-13  ","4-Nov-18  ","4-Nov-28  ","Jamalpur  ","Bangladesh  ","  ","local"
"22",22,"Action for Enterprise      ","House-03, Apt. 3A4, Nam Villa, Road-06, Gulshan-01, Dhaka- 1212 Phone: 8817277 E-mail: info@actionforenterprise.org Website:","2427      ","28-Apr-09      ","28-Apr-14      ","28-Apr-19      ","Dhaka      ","USA      ","      ","local"
"23",23,"Action for Rural Poor (ARP)  ","Upazila Road, Bakshigonj, Jamalpur Phone: 01716-763785","2796  ","27-Jun-13  ","27-Jun-18  ","27-Jun-28  ","Jamalpur  ","Bangladesh  ","  ","local"
"24",24,"Action for Social Development (ASD)  ","6/2A, Sir Syed Road, Mohammadpur, Dhaka. Phone : 9118475, Fax: 9118475 www.asd.org.bd","488   ","8-Jun-91   ","8-Jun-16   ","8-Jun-26   ","Dhaka   ","Bangladesh   ","   ","local"
"25",25,"Action in Bangladesh  ","Sadar Road, Kalai, P.O Box No. 5390, Kalai, Joypurhat. Phone: 215-222-442","2601  ","5-Oct-10  ","  ","5-Oct-15  ","Joypurhat  ","Bangladesh  ","  ","local"
"26",26,"Action on Disability & Development   ","House-56, Road-11, Block-C, Banani, Dhaka. Phone : 8832037, Fax: 8831228 www.add.org.bd, mosharraf.doc@gmail.com","804    ","13-Feb-94    ","13-Feb-19    ","13-Feb-29    ","Dhaka    ","UK    ","    ","local"
"27",27,"Activities for the Landless Organised with Consciousness (ALOC) ","Patkelgata Bazar, Thana: Tala, Satkhira  ","439   ","5-Feb-91   ","5-Feb-15   ","5-Feb-20   ","Sathkhira   ","Bangladesh   ","Cancelled on 25/10/2010, Revived on 12/5/2016","local"
"28",28,"Activity for Reformation of Basic Needs-ARBAN","Vill Rajapara, PO: Purbadhala, Netrakona","3077 ","3-Jan-17 "," ","3-Jan-22 ","Netrakona ","Bangladesh "," ","local"
"29",29,"ADAMS (Association for Development Activity of Manifold Social Work)  ","Kedarnath Road, Moheswarpasha, Post. B.I.T. Khulna Phone : 041-774426, Fax: 041- 774048","855    ","13-Sep-94    ","13-Sep-14    ","13-Sep-19    ","Khulna    ","Bangladesh    ","    ","local"
"30",30,"Adarsha Kajer Sandhanay (AKAS)   ","House-28, Masjidbari Road (Takdari Patti), P.O.+P.S.+Dist.: Jhalokathi. Phone: 01711-286349, 01717- 655622","2434    ","5-Jun-09    ","    ","5-Jun-14    ","Jhalokathi    ","Bangladesh    ","    ","local"
"31",31,"Adarsha Seba Sangstha   ","Uttar Plaza, Mahimaganj Road, Gobindaganj, Gaibandha.  ","974   ","10-Oct-95   ","10-Oct-15   ","10-Oct-20   ","Gaibandha   ","Bangladesh   ","Cancelled on 25/10/2010, Revived on 18/12/2014","local"
"32",32,"Ad-Din Welfare Centre  ","15, Rail Road, Jessore Phone : 0421-68820, Fax: 0421- 68807","347  ","30-Jan-90  ","30-Jan-15  ","30-Jan-20  ","Jessore  ","Bangladesh  ","  ","local"
"33",33,"Adhikar Unnayan Sangstha  ","House-67/A, (2nd Floor), Road- 8/A, Dhanmondi, Dhaka. Phone: 9115180","2421  ","15-Mar-09  ","  ","15-Mar-14  ","Dhaka  ","Bangladesh  ","  ","local"
"34",34,"Adhunik  ","63, Central Road, Dhanmondi, Dhaka-1205 Phone: 02-8614959","1149  ","29-Mar-97  ","20-Mar-12  ","20-Mar-17  ","Dhaka  ","Bangladesh  ","  ","local"
"35",35,"Adhunika Bangladesh Society (ABS)","107/1 Azimpur Road, Azimpur, Dhaka-1205","2270 ","12-Sep-07 "," ","12-Sep-12 ","Dhaka ","Bangladesh "," ","local"
"36",36,"Adibashi Unnayan Sangstha  ","Hazra Villa, Holding No-54, Betiapara, Park Gate, Vatapara, Rajshahi-6000. Phone: 01715-210096","1190   ","1-Oct-97   ","1-Oct-17   ","1-Oct-27   ","Rajshahi   ","Bangladesh   ","   ","local"
"37",37,"Adibasi Development Organization (ADO) ","Chakbeni, Post.: Jabaripur Hat, Upazila: Badalgachi, Dist.: Nowgaon","2341  ","21-Apr-08  ","  ","21-Apr-13  ","Naogaon  ","Bangladesh  ","  ","local"
"38",38,"Adivashi Samaj Unnayan Sangstha","Bengozol, Natore. Phone: 01711-574420","2599 ","30-Sep-10 ","30-Sep-15 ","30-Sep-20 ","Natore ","Bangladesh "," ","local"
"39",39,"ADORE  ","111 (Old-65), Islampur Road, Khulna-9100 Phone: 041-733378","1593  ","7-Dec-00  ","7-Dec-10  ","7-Dec-15  ","Khulna  ","Bangladesh  ","  ","local"
"40",40,"Advance Life Organization (ALO)","House-568, East Badda, Krishi Bak Road, Badda, Dhaka","3055 ","8-Dec-16 "," ","8-Dec-21 ","Dhaka ","Bangladesh "," ","local"
"41",41,"Advancing Public Interest Trust (APIT)","42, Satmasjid Road, Dhanmondhi, Dhaka.","2079 ","6-Mar-06 "," ","6-Mar-11 ","Dhaka ","Bangladesh "," ","local"
"42",42,"Adventist Development & Relief Agency International (ADRA) ","149, Shah Ali Bagh, Mirpur-1, Dhaka Phone : 8014096 www.adrabd.org","73   ","22-Apr-81   ","15-May-15   ","15-May-20   ","Dhaka   ","USA   ","   ","local"
"43",43,"Agape   ","Noni Bhaban (4th Floor), Uzani Para, Bandarban-4600 Phone: 0361-63255, Fax: 0361- 63255","2166   ","23-Nov-06   ","23-Nov-16   ","23-Nov-26   ","Bandarban   ","Bangladesh   ","   ","local"
"44",44,"Agape Bangladesh  ","Vill.: Goaljani, Post: Purnimagati, Upazilla: Ullapara, Dist: Sirajgonj.","2032  ","21-Apr-05  ","21-Apr-10  ","21-Apr-15  ","Sirajganj  ","Bangladesh  ","  ","local"
"45",45,"Agape Social Concern  ","39/1 Indira Road, West Rajabazar, Farmgate, Dhaka. Phone: 9114299, Fax: 8122286","1135  ","13-Feb-97  ","13-Feb-17  ","13-Feb-22  ","Dhaka  ","Bangladesh  ","  ","local"
"46",46,"Agency for Integrated Development","237 Bhagalpur, Savar, Dhaka Phone: 01715-110494","406 ","13-Nov-90 ","13-Oct-05 ","13-Oct-10 ","Dhaka ","Bangladesh "," ","local"
"47",47,"Agradutl Sangstha  ","8 No. World Pourasava, Upazila: Doulatkhan, Bhola Phone: 01815378609","3042  ","10-Oct-16  ","  ","10-Oct-21  ","Bhola  ","Bangladesh  ","  ","local"
"48",48,"Agragami Social Welfare Foundation ","Village: Vekutia, Post: Vekutia, Kawkhali, Dist: Pirojpur, Mob: 01725132113","3184  ","6-Jan-19  ","  ","6-Jan-29  ","Barisal  ","Bangladesh  ","  ","local"
"49",49,"Agragati ","Kak Bandhal, Sarutia, Thana: Keshabpur, Jessore","746 ","2-Sep-93 ","2-Sep-03 ","2-Sep-08 ","Jessore ","Bangladesh "," ","local"
"50",50,"Agragati Seba Sangstha (ASS) ","Jangua, Nowakandi, Moulavibazar Phone: 01266287800","2592  ","29-Aug-10  ","29-Aug-15  ","29-Aug-20  ","Moulavibazar  ","Bangladesh  ","  ","local"
"51",51,"Agrajatra Samaj Unnayan Sangstha ","Rajarhat, PO & PS: Rajarhat, Dist: Kurigram Phone: 01928-993070","2747  ","18-Nov-12  ","  ","18-Nov-17  ","Kurigram  ","Bangladesh  ","  ","local"
"52",52,"Agrajattra    ","126, Jamal Khan Road (3rd Floor), PO: Anderkilla, PS: Kotwali, Chittagong. Phone: 031-612352, Fax: 031- 612352","2093    ","8-May-06    ","8-May-16    ","8-May-21    ","Chittagong    ","Bangladesh    ","    ","local"
"53",53,"Agrani Mohila Unnayan Sangstha  ","226, Tatipara, Nilganj, Jessore- 7400 Phone : 0421-74036 ","1880   ","15-Oct-03   ","15-Oct-18   ","15-Oct-28   ","Jessore   ","Bangladesh   ","Cancelled on 13/04/2010, Revived on 29/09/2011","local"
"54",54,"Agrasar Buddha Anathalaya ","Vill: Hoarapara, PO: East Gogra, Raozan, Chittagong Phone: 01817-724360","81  ","22-Apr-81  ","15-May-15  ","15-May-20  ","Chittagong  ","Bangladesh  ","  ","local"
"55",55,"Agrasara Memorial Society of Bangladesh","Hoarapara, P.O.: East Gugra, P.S.: Rawzan, Dist.: Chittagong","2478 ","13-Sep-09 "," ","13-Sep-14 ","Chittagong ","Bangladesh "," ","local"
"56",56,"Agriculture Advisory Society  ","House-1/6 (G floor), Block-G, Lalmatia, Dhaka-1207 Phone: 8113645 www.aas-bd.org","1015   ","4-Mar-96   ","4-Mar-16   ","4-Mar-21   ","Dhaka   ","Bangladesh   ","   ","local"
"57",57,"Agriculture Sustainable and Socio Economic Development Organization (ASSEDO)","House-575, Road-01, Padma R/A, Vadra, Rajshahi. Phone: 01711-016076 ","2103   ","8-Jun-06   ","8-Jun-16   ","8-Jun-21   ","Rajshahi   ","Bangladesh   ","   ","local"
"58",58,"Agro-based Socio Economical Development Services (ASEDS) ","House-38, Road-07, Block-A, Section-12, Pallabi, Mirpur, Dhaka-1216 Mob: 01711224696","3225   ","14-Nov-19   ","   ","14-Nov-29   ","Dhaka   ","Bangladesh   ","   ","local"
"59",59,"Agrogoti Sangstha   ","Cold Storage More, Mil Bazar, Satkhira. Phone: 0471-63870 www.agrogoti.org","1963   ","23-Sep-04   ","23-Sep-14   ","23-Sep-19   ","Sathkhira   ","Bangladesh   ","   ","local"
"60",60,"Aid Bangla   ","1, Outer Circular Road, Malibagh, Dhaka-1217 Phone: 9349681 ","1857   ","20-Jul-03   ","20-Jul-08   ","20-Jul-13   ","Dhaka   ","Bangladesh   ","Cancelled on 25/10/2010, Revived on 18/08/2011","local"
"61",61,"Aid for Poor People (APP)   ","House-801, Road-14, Khilgoan, Block-A, Akota Sarak, Khilgaon, Dhaka. Phone: 7215830, 01711-523399","2005   ","6-Feb-05   ","6-Feb-15   ","6-Feb-20   ","Dhaka   ","Bangladesh   ","   ","local"
"62",62,"AID Foundation     ","AID Complex, Shatbaria, Jhenaidah Phone : 0451-61188-9, Fax: 0541-61196 email: info@aid-bd.org www.aid-bd.org","1319     ","30-Nov-98     ","30-Nov-13     ","30-Nov-18     ","Jhenaidah     ","Bangladesh     ","     ","local"
"63",63,"Aid Organization   ","Jaifia Plaza, Nobogram Road, Barisal-8200 Phone: 01718665198 www.aidobd.org","2595   ","5-Sep-10   ","5-Sep-15   ","5-Sep-20   ","Barisal   ","Bangladesh   ","   ","local"
"64",64,"AIDA, Ayuda, Intercambio Y Desarrollo  ","Flat-5A, House-487, Road-08, DOHS Baridhara, Dhaka Phone: 01745-777219 Www.ong-aida.org","2441   ","26-May-09   ","26-May-14   ","26-May-19   ","Dhaka   ","Spain   ","   ","local"
"65",65,"Aids Awareness Foundation ","196, Shahjahan Road, Mohammadpur, Dhaka-1207 Phone: 8111402, Fax: 8114513","883  ","3-Jan-95  ","3-Jan-15  ","3-Jan-20  ","Dhaka  ","Bangladesh  ","  ","local"
"66",66,"Aiging Resource Centre Bangladesh","9/2, Block-D (2nd Floor), Lalmatia, Dhaka.","2156 ","12-Nov-06 "," ","12-Nov-11 ","Dhaka ","Bangladesh "," ","local"
"67",67,"AIM (Aunannyo Initiative for Mankind Development)","Upazila parisad Road, Chowgacha, Jessore","3130 ","4-Jan-18 "," ","4-Jan-28 ","Jessore ","Bangladesh "," ","local"
"68",68,"AIMS (Association of Integrated Management for Survivors) ","Vill: Thakuradah Union, Berabil, Upazilla: Ganggachara, Dist: Rangpur. Phone: 01717-676848","2991   ","22-Dec-15   ","   ","22-Dec-20   ","Rajshahi   ","Bangladesh   ","   ","local"
"69",69,"Ain-O-Salish Kendra  ","7/17, Block-B, Lalmatia, Dhaka. Phone: 8126047, 8126134 www.askbd.org","721  ","28-Jun-93  ","28-Jun-18  ","28-Jun-28  ","Dhaka  ","Bangladesh  ","  ","local"
"70",70,"Akaas Foundation  ","A-65, Uttarpara, Saver, Dhaka- 1340 Phone: 7741785","2277  ","11-Oct-07  ","11-Oct-17  ","11-Oct-27  ","Dhaka  ","Bangladesh  ","  ","local"
"71",71,"Akkel Ali Master Foundation ","Mulgaon, PO: goshairhat, Goshairhat, Shariatpur Phone: 01740991323","3048  ","1-Nov-16  ","  ","1-Nov-21  ","Shariatpur  ","Bangladesh  ","  ","local"
"72",72,"Akota   ","Village: Kumarpara, P.O: Kholahati, Thana+Dist: Gaibandha Phone: 01711-578422","1434   ","6-Oct-99   ","6-Oct-14   ","6-Oct-19   ","Gaibandha   ","Bangladesh   ","   ","local"
"73",73,"Akota Samaj Unnayan Sangstha (ASUS) ","45, Mitali Road, Rayer Bazar, Dhaka. Phone : 8122550","1580  ","30-Oct-00  ","30-Oct-05  ","30-Oct-10  ","Dhaka  ","Bangladesh  ","  ","local"
"74",74,"Al Basher International Foundation  ","1/9, Block-E, Satmasjid Road, Lalmatia, Dhaka, Phone :9135451-2, Fax: 8114142","654   ","22-Sep-92   ","22-Sep-17   ","22-Sep-27   ","Dhaka   ","UK   ","   ","local"
"75",75,"Al Haramain Islamic Foundation  ","House-1, Road-1, Sector-6, Uttara, Dhaka Phone : 8912120 ","648   ","17-Sep-92   ","17-Sep-02   ","17-Sep-07   ","Dhaka   ","Saudi Arabia   ","Office & Operation closed in Bangladesh from 2004.","local"
"76",76,"Al Ihsan Social Development Center  ","Vill+Post: Hasara, Upazila: Sreenagar, Dist.: Munshigonj Phone: 01726-151365 www.aiwvc.com","2360   ","20-May-08   ","20-May-18   ","20-May-28   ","Munshiganj   ","Bangladesh   ","   ","local"
"77",77,"Al Jameatul Islamiah Al Arabia Mozaher Ulum","Char Chaktai, Chittagong ","947 ","20-Jun-95 ","20-Jun-10 ","20-Jun-20 ","Chittagong ","Bangladesh "," ","local"
"78",78,"Al Jamiah Al Islamiah   ","PO: Al-Jamia, P.O. Patiya, Chittagong Phone: 031-310492, 01819- 346465","748   ","9-Feb-93   ","2-Sep-13   ","2-Sep-18   ","Chittagong   ","Bangladesh   ","   ","local"
"79",79,"Al Manahil Welfare Foundation Bangladesh","Nanupur, Fatikchari, Chittagong Phone: 01819-618781","3023 ","19-May-16 "," ","19-May-21 ","Chittagong ","Bangladesh "," ","local"
"80",80,"Al Markazul Islami  ","21/17, Babar Road, Mohammadpur, Dhaka Phone : 8114980, Fax: 8116739","685  ","3-Mar-93  ","3-Mar-18  ","3-Mar-28  ","Dhaka  ","Bangladesh  ","  ","local"
"81",81,"Al -Watan Charitable Society  ","Vill+Post: Padua-353, Chouddagram, Comilla Phone: 01720-691594, 01819- 628685","2402   ","18-Jan-09   ","18-Jan-14   ","18-Jan-19   ","Comilla   ","Bangladesh   ","   ","local"
"82",82,"Alacrity for Poverty Alleviation in Bangladesh (APAB) ","22, Amirabad, Mahedibag R/A, Chittagong-4000 Phone: 031-613028, Fax: 031- 610785","641   ","30-Jul-92   ","30-Jul-17   ","30-Jul-27   ","Chittagong   ","South Korea   ","   ","local"
"83",83,"Al-Amanah Samaj Kallayan Sangstha ","Mujgannikhan-A-Sabur Road, PO: Khalishpur, Khulna. Phone: 041-760406","2027  ","9-Apr-05  ","9-Apr-10  ","9-Apr-15  ","Khulna  ","Bangladesh  ","  ","local"
"84",84,"Al-Falah Bangladesh   ","9/16 Iqbal Road, Mohammadpur, Dhaka Phone : 8130827 www.alfalah.com.bd.","417   ","10-Dec-90   ","13-Dec-15   ","13-Dec-20   ","Dhaka   ","Bangladesh   ","   ","local"
"85",85,"Al-Forqan Foundation  ","137 Auspara, Tongi, Gazipur. Phone: 9802014, 9802015 Fax: 9803005","1791  ","22-Jan-03  ","22-Jan-18  ","22-Jan-28  ","Dhaka  ","Saudi Arabia  ","  ","local"
"86",86,"Alhaj Khodeja Amin Foundation","Selonda, Shanthia, Pabna Phone: 01711355542","3100 ","1-Nov-17 "," ","1-Nov-27 ","Pabna ","Bangladesh "," ","local"
"87",87,"Al-haj Safura Begum Shishu Shadan ","Hathuria, Ghatakhan, Goshairhat, Shariatpur, Mob: 01711565065","3230  ","4-Jan-20  ","  ","4-Jan-30  ","Shariatpur  ","Bangladesh  ","  ","local"
"88",88,"Alhaj Shamsul Hoque Foundation ","Golam Ali Nazir Bari, Chandgaon, Chittagong, Mob: 1819385938","3201  ","23-Jun-19  ","  ","23-Jun-29  ","Chittagong  ","Bangladesh  ","  ","local"
"89",89,"Al-Khair Foundation Bangladesh Field Office  ","House-1/A, Block-SW(F), Road- 4, Gulshan-1, Dhaka-1212, Tel: 02-48810334, Mob: 1711965422","3161   ","2-Aug-18   ","   ","2-Aug-28   ","Dhaka   ","UK   ","   ","local"
"90",90,"Allama Abul Khair Foundation  ","Vill.: Raroapara, Post: Chunnapara, Upazilla: Anowara, Dist.: Chittagong. Www.aakfoundation.org","2142   ","8-Oct-06   ","8-Oct-16   ","8-Oct-21   ","Chittagong   ","Bangladesh   ","   ","local"
"91",91,"Allama Fazlullah Foundation  ","Vill: Babunagar (Mokkarbari), PO: Deodighi, UZ: Satkania, Dist: Chittagong. Phone: 031-2551654","1770   ","1-Dec-02   ","1-Dec-17   ","1-Dec-27   ","Chittagong   ","Bangladesh   ","   ","local"
"92",92,"Alliance for Cooperation and Legal Aid Bangladesh (ACLAB)","8/13, Block-C, Tajmohal Road, Mohammadpur, Dhaka-1207. www.aclabbd.org","2053  ","1-Jan-06  ","12-Oct-15  ","12-Oct-20  ","Dhaka  ","Bangladesh  ","  ","local"
"93",93,"Al-Manar Islami Sangstha","Shaltha, Faridpur.","1843","18-Jun-03","18-Jun-08","18-Jun-13","Faridpur","Bangladesh","","local"
"94",94,"Aloha Social Services Bangladesh ","Ali Manjil, Balubari, Dinajpur- 5200 Phone :0531-64644","1532  ","7-Jun-00  ","7-Jun-15  ","7-Jun-20  ","Dinajpur  ","Bangladesh  ","  ","local"
"95",95,"Alok Bangla (An Initiative to Promote People's Self- Help)","House-119, Road-07, Shah Ali Bagh, Mirpur-1, Dhaka. Phone: 9012393","2484  ","29-Sep-09  ","29-Sep-14  ","29-Sep-19  ","Dhaka  ","Bangladesh  ","  ","local"
"96",96,"Alokito Manob Unnayan Songstha (AMUS) ","JNC Road-1, House-215, Alamnagar, Rangpur. Phone: 01718644757","3083  ","11-Jan-17  ","  ","11-Jan-22  ","Rangpur  ","Bangladesh  ","  ","local"
"97",97,"Alokito Path","Montana, Satkania, Chittagong.","2153","6-Nov-06","6-Nov-16","6-Nov-26","Chittagong","Bangladesh","","local"
"98",98,"Alokon   ","103/A, Mohammadpur, Pachlaish, Chittagong. Phone : 01711-122580, 031- 650547","1892   ","9-Dec-03   ","9-Dec-13   ","9-Dec-18   ","Chittagong   ","Bangladesh   ","   ","local"
"99",99,"Alor Disha Mohila Sangstha ","74/3, Satish Chandra Saha Lane, Kustia Phone: 01711-935253","2453  ","2-Jun-09  ","2-Jun-14  ","2-Jun-19  ","Kustia  ","Bangladesh  ","  ","local"
"100",100,"Alor Dishari Sangstha (ADS)","Malotinagar, Dubil, Raygonj,Sirajgonj.","2265 ","26-Aug-07 "," ","26-Aug-12 ","Sirajganj ","Bangladesh "," ","local"
"101",101,"Alor Dishary Mohila Unnayan Sangstha","Goalanda, Rajbari Phone: 01727-211905","2961 ","25-Aug-15 "," ","25-Aug-20 ","Dhaka ","Bangladesh "," ","local"
"102",102,"Alor Pathe Nobojatray Foundation   ","74/B/1, RH Home Center, Suite- 641, Level-7, Green Road, Farmgate, Dhaka Phone: 01534508932 www.aponfoundation.org","3027    ","9-Jun-16    ","    ","9-Jun-21    ","Dhaka    ","Bangladesh    ","    ","local"
"103",103,"Alor Pothey ","Vill: Madhupur, P.O: Dharoni Bari, P.S: Ulipur, Dist: Kurigram","1124 ","26-Jan-97 ","26-Jan-17 ","26-Jan-27 ","Kurigram ","Bangladesh "," ","local"
"104",104,"Aloran    ","Vill.: West Gomdhandi Prathomic Shikkhak Bhaban, Buripukurpar, Post+Upazilla: Boalkhali, Dist.: Chittagong. Phone: 01711-487884","2205    ","8-Mar-07    ","8-Mar-12    ","8-Mar-17    ","Chittagong    ","Bangladesh    ","    ","local"
"105",105,"Alore Disha Foundation  ","College Para, Upazila : Kalia, Dist: Narail Mob: 0172659247","3172  ","14-Nov-18  ","  ","14-Nov-28  ","Narail  ","Bangladesh  ","  ","local"
"106",106,"Aloshika Social Development Organization  ","Vill: Auliapur, PO: Maydan Madrasha, Upazila: Patuakhali Sadar, Dist: Patuakhali. Phone: 01924699282","3012   ","29-Feb-16   ","   ","28-Feb-21   ","Patuakhali   ","Bangladesh   ","   ","local"
"107",107,"Aloshikha Rajihar Social Development Centre","Vill. & P.O. Rajihar, Agailjhara, Barisal","324 ","1-Nov-89 ","11-Jan-14 ","11-Jan-19 ","Barisal ","Bangladesh "," ","local"
"108",108,"Aloshikha Womens Welfare Association  ","House-09(4th Floor), Road-02, North Adabor, Baitul Aman Housing Society, Adabor, Dhaka Phone: 01819-251911","2849   ","20-Feb-14   ","   ","20-Feb-19   ","Dhaka   ","Bangladesh   ","   ","local"
"109",109,"Alternative Approach ","Azim Monjil, Bayrapur, Comilla. Phone: 01915794195","1895 ","23-Dec-03 ","23-Dec-08 ","23-Dec-13 ","Comilla ","Bangladesh "," ","local"
"110",110,"Alternative Development Initiative  ","11/1, Iqbal Road, Block-A (Ground Floor), Mohammdpur, Dhaka Phone : 9126810","902   ","18-Feb-95   ","18-Feb-05   ","18-Feb-10   ","Dhaka   ","Bangladesh   ","   ","local"
"111",111,"Alternative Development Society (ADS) ","Vill.: Arajigopinatpur, Post: Gowrigram, Upazilla: Sathia, Dist.: Pabna.","2321  ","23-Mar-08  ","23-Mar-13  ","23-Mar-18  ","Pabna  ","Bangladesh  ","  ","local"
"112",112,"AMAN (Association for Muslim Advancement Network)  ","2/2, Lalmatia, Block-A, Mirpur Road, Dhaka. Phone: 01711-486534, Fax: 8356249 www.amanbd.org","980    ","19-Oct-95    ","19-Oct-15    ","19-Oct-20    ","Dhaka    ","Bangladesh    ","    ","local"
"113",113,"Amar Hasna Meherun Ness Jano Kallayan Sangstha","House-05, Road-15, Sector-14, Uttara, Dhaka. ","2756  ","26-Dec-12  ","  ","26-Dec-17  ","Dhaka  ","Bangladesh  ","  ","local"
"114",114,"Ambala Foundation   ","House-67, Block-Ka, Piciculture Housing Society, Shyamoli, Dhaka. Phone: 9120040, 9110740","952   ","28-Jun-95   ","28-Jun-15   ","28-Jun-20   ","Dhaka   ","Bangladesh   ","   ","local"
"115",115,"AMCB Foundation Bangladesh ","Plot-3/1, Block-F, Lalmatia, Dhaka. Phone: 01819243401","3091  ","24-Oct-17  ","  ","24-Oct-27  ","Dhaka  ","Bangladesh  ","  ","local"
