num_var,ngo_name,ngo_address,reg_no,reg_date,renewed_on,valid_until,district,country,remarks
28,Activity for Reformation of,"Vill Rajapara, PO: Purbadhala,",3077,3-Jan-17,,3-Jan-22,Netrakona,Bangladesh,
,Basic Needs-ARBAN,Netrakona,,,,,,,
29,ADAMS (Association for,"Kedarnath Road,",855,13-Sep-94,13-Sep-14,13-Sep-19,Khulna,Bangladesh,
,Development Activity of,"Moheswarpasha, Post. B.I.T.",,,,,,,
,Manifold Social Work),Khulna,,,,,,,
,,"Phone : 041-774426, Fax: 041-",,,,,,,
,,774048,,,,,,,
30,Adarsha Kajer Sandhanay,"House-28, Masjidbari Road",2434,5-Jun-09,,5-Jun-14,Jhalokathi,Bangladesh,
,(AKAS),"(Takdari Patti), P.O.+P.S.+Dist.:",,,,,,,
,,Jhalokathi.,,,,,,,
,,"Phone: 01711-286349, 01717-",,,,,,,
,,655622,,,,,,,
31,Adarsha Seba Sangstha,"Uttar Plaza, Mahimaganj Road,",974,10-Oct-95,10-Oct-15,10-Oct-20,Gaibandha,Bangladesh,Cancelled on
,,"Gobindaganj, Gaibandha.",,,,,,,"25/10/2010,"
,,,,,,,,,Revived on
,,,,,,,,,18/12/2014
32,Ad-Din Welfare Centre,"15, Rail Road, Jessore",347,30-Jan-90,30-Jan-15,30-Jan-20,Jessore,Bangladesh,
,,"Phone : 0421-68820, Fax: 0421-",,,,,,,
,,68807,,,,,,,
33,Adhikar Unnayan Sangstha,"House-67/A, (2nd Floor), Road-",2421,15-Mar-09,,15-Mar-14,Dhaka,Bangladesh,
,,"8/A, Dhanmondi, Dhaka.",,,,,,,
,,Phone: 9115180,,,,,,,
34,Adhunik,"63, Central Road, Dhanmondi,",1149,29-Mar-97,20-Mar-12,20-Mar-17,Dhaka,Bangladesh,
,,Dhaka-1205,,,,,,,
,,Phone: 02-8614959,,,,,,,
35,Adhunika Bangladesh,"107/1 Azimpur Road, Azimpur,",2270,12-Sep-07,,12-Sep-12,Dhaka,Bangladesh,
,Society (ABS),Dhaka-1205,,,,,,,
36,Adibashi Unnayan,"Hazra Villa, Holding No-54,",1190,1-Oct-97,1-Oct-17,1-Oct-27,Rajshahi,Bangladesh,
,Sangstha,"Betiapara, Park Gate, Vatapara,",,,,,,,
,,Rajshahi-6000.,,,,,,,
,,Phone: 01715-210096,,,,,,,
37,Adibasi Development,"Chakbeni, Post.: Jabaripur Hat,",2341,21-Apr-08,,21-Apr-13,Naogaon,Bangladesh,
,Organization (ADO),"Upazila: Badalgachi, Dist.:",,,,,,,
,,Nowgaon,,,,,,,
38,Adivashi Samaj Unnayan,"Bengozol, Natore.",2599,30-Sep-10,30-Sep-15,30-Sep-20,Natore,Bangladesh,
,Sangstha,Phone: 01711-574420,,,,,,,
39,ADORE,"111 (Old-65), Islampur Road,",1593,7-Dec-00,7-Dec-10,7-Dec-15,Khulna,Bangladesh,
,,Khulna-9100,,,,,,,
,,Phone: 041-733378,,,,,,,
40,Advance Life Organization,"House-568, East Badda, Krishi",3055,8-Dec-16,,8-Dec-21,Dhaka,Bangladesh,
,(ALO),"Bak Road, Badda, Dhaka",,,,,,,
41,Advancing Public Interest,"42, Satmasjid Road,",2079,6-Mar-06,,6-Mar-11,Dhaka,Bangladesh,
,Trust (APIT),"Dhanmondhi, Dhaka.",,,,,,,
42,Adventist Development &,"149, Shah Ali Bagh, Mirpur-1,",73,22-Apr-81,15-May-15,15-May-20,Dhaka,USA,
,Relief Agency International,Dhaka,,,,,,,
,(ADRA),Phone : 8014096,,,,,,,
,,www.adrabd.org,,,,,,,
43,Agape,"Noni Bhaban (4th Floor), Uzani",2166,23-Nov-06,23-Nov-16,23-Nov-26,Bandarban,Bangladesh,
,,"Para, Bandarban-4600",,,,,,,
,,"Phone: 0361-63255, Fax: 0361-",,,,,,,
,,63255,,,,,,,
44,Agape Bangladesh,"Vill.: Goaljani, Post:",2032,21-Apr-05,21-Apr-10,21-Apr-15,Sirajganj,Bangladesh,
,,"Purnimagati, Upazilla: Ullapara,",,,,,,,
,,Dist: Sirajgonj.,,,,,,,
45,Agape Social Concern,"39/1 Indira Road, West",1135,13-Feb-97,13-Feb-17,13-Feb-22,Dhaka,Bangladesh,
,,"Rajabazar, Farmgate, Dhaka.",,,,,,,
,,"Phone: 9114299, Fax: 8122286",,,,,,,
46,Agency for Integrated,"237 Bhagalpur, Savar, Dhaka",406,13-Nov-90,13-Oct-05,13-Oct-10,Dhaka,Bangladesh,
,Development,Phone: 01715-110494,,,,,,,
47,Agradutl Sangstha,"8 No. World Pourasava,",3042,10-Oct-16,,10-Oct-21,Bhola,Bangladesh,
,,"Upazila: Doulatkhan, Bhola",,,,,,,
,,Phone: 01815378609,,,,,,,
48,Agragami Social Welfare,"Village: Vekutia, Post: Vekutia,",3184,6-Jan-19,,6-Jan-29,Barisal,Bangladesh,
,Foundation,"Kawkhali, Dist: Pirojpur,",,,,,,,
,,Mob: 01725132113,,,,,,,
49,Agragati,"Kak Bandhal, Sarutia, Thana:",746,2-Sep-93,2-Sep-03,2-Sep-08,Jessore,Bangladesh,
,,"Keshabpur, Jessore",,,,,,,
50,Agragati Seba Sangstha,"Jangua, Nowakandi,",2592,29-Aug-10,29-Aug-15,29-Aug-20,Moulavibazar,Bangladesh,
,(ASS),Moulavibazar,,,,,,,
,,Phone: 01266287800,,,,,,,
51,Agrajatra Samaj Unnayan,"Rajarhat, PO & PS: Rajarhat,",2747,18-Nov-12,,18-Nov-17,Kurigram,Bangladesh,
,Sangstha,Dist: Kurigram,,,,,,,
,,Phone: 01928-993070,,,,,,,
52,Agrajattra,"126, Jamal Khan Road (3rd",2093,8-May-06,8-May-16,8-May-21,Chittagong,Bangladesh,
,,"Floor), PO: Anderkilla, PS:",,,,,,,
,,"Kotwali, Chittagong.",,,,,,,
,,"Phone: 031-612352, Fax: 031-",,,,,,,
,,612352,,,,,,,
53,Agrani Mohila Unnayan,"226, Tatipara, Nilganj, Jessore-",1880,15-Oct-03,15-Oct-18,15-Oct-28,Jessore,Bangladesh,Cancelled on
,Sangstha,7400,,,,,,,"13/04/2010,"
,,Phone : 0421-74036,,,,,,,Revived on
,,,,,,,,,29/09/2011
54,Agrasar Buddha,"Vill: Hoarapara, PO: East",81,22-Apr-81,15-May-15,15-May-20,Chittagong,Bangladesh,
,Anathalaya,"Gogra, Raozan, Chittagong",,,,,,,
,,Phone: 01817-724360,,,,,,,
55,Agrasara Memorial Society,"Hoarapara, P.O.: East Gugra,",2478,13-Sep-09,,13-Sep-14,Chittagong,Bangladesh,
,of Bangladesh,"P.S.: Rawzan, Dist.: Chittagong",,,,,,,
56,Agriculture Advisory,"House-1/6 (G floor), Block-G,",1015,4-Mar-96,4-Mar-16,4-Mar-21,Dhaka,Bangladesh,
,Society,"Lalmatia, Dhaka-1207",,,,,,,
,,Phone: 8113645,,,,,,,
,,www.aas-bd.org,,,,,,,
57,Agriculture Sustainable,"House-575, Road-01, Padma",2103,8-Jun-06,8-Jun-16,8-Jun-21,Rajshahi,Bangladesh,
,and Socio Economic,"R/A, Vadra, Rajshahi.",,,,,,,
,Development Organization,Phone: 01711-016076,,,,,,,
,(ASSEDO),,,,,,,,
58,Agro-based Socio,"House-38, Road-07, Block-A,",3225,14-Nov-19,,14-Nov-29,Dhaka,Bangladesh,
,Economical Development,"Section-12, Pallabi, Mirpur,",,,,,,,
,Services (ASEDS),Dhaka-1216,,,,,,,
,,Mob: 01711224696,,,,,,,
59,Agrogoti Sangstha,"Cold Storage More, Mil Bazar,",1963,23-Sep-04,23-Sep-14,23-Sep-19,Sathkhira,Bangladesh,
,,Satkhira.,,,,,,,
,,Phone: 0471-63870,,,,,,,
,,www.agrogoti.org,,,,,,,
60,Aid Bangla,"1, Outer Circular Road,",1857,20-Jul-03,20-Jul-08,20-Jul-13,Dhaka,Bangladesh,Cancelled on
,,"Malibagh, Dhaka-1217",,,,,,,"25/10/2010,"
,,Phone: 9349681,,,,,,,Revived on
,,,,,,,,,18/08/2011
61,Aid for Poor People (APP),"House-801, Road-14, Khilgoan,",2005,6-Feb-05,6-Feb-15,6-Feb-20,Dhaka,Bangladesh,
,,"Block-A, Akota Sarak, Khilgaon,",,,,,,,
,,Dhaka.,,,,,,,
,,"Phone: 7215830, 01711-523399",,,,,,,
62,AID Foundation,"AID Complex, Shatbaria,",1319,30-Nov-98,30-Nov-13,30-Nov-18,Jhenaidah,Bangladesh,
,,Jhenaidah,,,,,,,
,,"Phone : 0451-61188-9, Fax:",,,,,,,
,,0541-61196,,,,,,,
,,email: info@aid-bd.org,,,,,,,
,,www.aid-bd.org,,,,,,,
63,Aid Organization,"Jaifia Plaza, Nobogram Road,",2595,5-Sep-10,5-Sep-15,5-Sep-20,Barisal,Bangladesh,
,,Barisal-8200,,,,,,,
,,Phone: 01718665198,,,,,,,
,,www.aidobd.org,,,,,,,
64,"AIDA, Ayuda, Intercambio","Flat-5A, House-487, Road-08,",2441,26-May-09,26-May-14,26-May-19,Dhaka,Spain,
,Y Desarrollo,"DOHS Baridhara, Dhaka",,,,,,,
,,Phone: 01745-777219,,,,,,,
,,Www.ong-aida.org,,,,,,,
65,Aids Awareness,"196, Shahjahan Road,",883,3-Jan-95,3-Jan-15,3-Jan-20,Dhaka,Bangladesh,
,Foundation,"Mohammadpur, Dhaka-1207",,,,,,,
,,"Phone: 8111402, Fax: 8114513",,,,,,,
66,Aiging Resource Centre,"9/2, Block-D (2nd Floor),",2156,12-Nov-06,,12-Nov-11,Dhaka,Bangladesh,
,Bangladesh,"Lalmatia, Dhaka.",,,,,,,
67,AIM (Aunannyo Initiative,"Upazila parisad Road,",3130,4-Jan-18,,4-Jan-28,Jessore,Bangladesh,
,for Mankind Development),"Chowgacha, Jessore",,,,,,,
68,AIMS (Association of,"Vill: Thakuradah Union, Berabil,",2991,22-Dec-15,,22-Dec-20,Rajshahi,Bangladesh,
,Integrated Management for,"Upazilla: Ganggachara, Dist:",,,,,,,
,Survivors),Rangpur.,,,,,,,
,,Phone: 01717-676848,,,,,,,
69,Ain-O-Salish Kendra,"7/17, Block-B, Lalmatia, Dhaka.",721,28-Jun-93,28-Jun-18,28-Jun-28,Dhaka,Bangladesh,
,,"Phone: 8126047, 8126134",,,,,,,
,,www.askbd.org,,,,,,,
70,Akaas Foundation,"A-65, Uttarpara, Saver, Dhaka-",2277,11-Oct-07,11-Oct-17,11-Oct-27,Dhaka,Bangladesh,
,,1340,,,,,,,
,,Phone: 7741785,,,,,,,
71,Akkel Ali Master,"Mulgaon, PO: goshairhat,",3048,1-Nov-16,,1-Nov-21,Shariatpur,Bangladesh,
,Foundation,"Goshairhat, Shariatpur",,,,,,,
,,Phone: 01740991323,,,,,,,
72,Akota,"Village: Kumarpara, P.O:",1434,6-Oct-99,6-Oct-14,6-Oct-19,Gaibandha,Bangladesh,
,,"Kholahati, Thana+Dist:",,,,,,,
,,Gaibandha,,,,,,,
,,Phone: 01711-578422,,,,,,,
73,Akota Samaj Unnayan,"45, Mitali Road, Rayer Bazar,",1580,30-Oct-00,30-Oct-05,30-Oct-10,Dhaka,Bangladesh,
,Sangstha (ASUS),Dhaka.,,,,,,,
,,Phone : 8122550,,,,,,,
74,Al Basher International,"1/9, Block-E, Satmasjid Road,",654,22-Sep-92,22-Sep-17,22-Sep-27,Dhaka,UK,
,Foundation,"Lalmatia, Dhaka,",,,,,,,
,,"Phone :9135451-2, Fax:",,,,,,,
,,8114142,,,,,,,
75,Al Haramain Islamic,"House-1, Road-1, Sector-6,",648,17-Sep-92,17-Sep-02,17-Sep-07,Dhaka,Saudi Arabia,Office &
,Foundation,"Uttara, Dhaka",,,,,,,Operation closed
,,Phone : 8912120,,,,,,,in Bangladesh
,,,,,,,,,from 2004.
76,Al Ihsan Social,"Vill+Post: Hasara, Upazila:",2360,20-May-08,20-May-18,20-May-28,Munshiganj,Bangladesh,
,Development Center,"Sreenagar, Dist.: Munshigonj",,,,,,,
,,Phone: 01726-151365,,,,,,,
,,www.aiwvc.com,,,,,,,
77,Al Jameatul Islamiah Al,"Char Chaktai, Chittagong",947,20-Jun-95,20-Jun-10,20-Jun-20,Chittagong,Bangladesh,
,Arabia Mozaher Ulum,,,,,,,,
78,Al Jamiah Al Islamiah,"PO: Al-Jamia, P.O. Patiya,",748,9-Feb-93,2-Sep-13,2-Sep-18,Chittagong,Bangladesh,
,,Chittagong,,,,,,,
,,"Phone: 031-310492, 01819-",,,,,,,
,,346465,,,,,,,
79,Al Manahil Welfare,"Nanupur, Fatikchari, Chittagong",3023,19-May-16,,19-May-21,Chittagong,Bangladesh,
,Foundation Bangladesh,Phone: 01819-618781,,,,,,,
80,Al Markazul Islami,"21/17, Babar Road,",685,3-Mar-93,3-Mar-18,3-Mar-28,Dhaka,Bangladesh,
,,"Mohammadpur, Dhaka",,,,,,,
,,"Phone : 8114980, Fax: 8116739",,,,,,,
81,Al -Watan Charitable,"Vill+Post: Padua-353,",2402,18-Jan-09,18-Jan-14,18-Jan-19,Comilla,Bangladesh,
,Society,"Chouddagram, Comilla",,,,,,,
,,"Phone: 01720-691594, 01819-",,,,,,,
,,628685,,,,,,,
82,Alacrity for Poverty,"22, Amirabad, Mahedibag R/A,",641,30-Jul-92,30-Jul-17,30-Jul-27,Chittagong,South Korea,
,Alleviation in Bangladesh,Chittagong-4000,,,,,,,
,(APAB),"Phone: 031-613028, Fax: 031-",,,,,,,
,,610785,,,,,,,
83,Al-Amanah Samaj,"Mujgannikhan-A-Sabur Road,",2027,9-Apr-05,9-Apr-10,9-Apr-15,Khulna,Bangladesh,
,Kallayan Sangstha,"PO: Khalishpur, Khulna.",,,,,,,
,,Phone: 041-760406,,,,,,,
84,Al-Falah Bangladesh,"9/16 Iqbal Road,",417,10-Dec-90,13-Dec-15,13-Dec-20,Dhaka,Bangladesh,
,,"Mohammadpur, Dhaka",,,,,,,
,,Phone : 8130827,,,,,,,
,,www.alfalah.com.bd.,,,,,,,
85,Al-Forqan Foundation,"137 Auspara, Tongi, Gazipur.",1791,22-Jan-03,22-Jan-18,22-Jan-28,Dhaka,Saudi Arabia,
,,"Phone: 9802014, 9802015",,,,,,,
,,Fax: 9803005,,,,,,,
86,Alhaj Khodeja Amin,"Selonda, Shanthia, Pabna",3100,1-Nov-17,,1-Nov-27,Pabna,Bangladesh,
,Foundation,Phone: 01711355542,,,,,,,
87,Al-haj Safura Begum,"Hathuria, Ghatakhan,",3230,4-Jan-20,,4-Jan-30,Shariatpur,Bangladesh,
,Shishu Shadan,"Goshairhat, Shariatpur,",,,,,,,
,,Mob: 01711565065,,,,,,,
88,Alhaj Shamsul Hoque,"Golam Ali Nazir Bari,",3201,23-Jun-19,,23-Jun-29,Chittagong,Bangladesh,
,Foundation,"Chandgaon, Chittagong, Mob:",,,,,,,
,,1819385938,,,,,,,
89,Al-Khair Foundation,"House-1/A, Block-SW(F), Road-",3161,2-Aug-18,,2-Aug-28,Dhaka,UK,
,Bangladesh Field Office,"4, Gulshan-1, Dhaka-1212, Tel:",,,,,,,
,,"02-48810334, Mob:",,,,,,,
,,1711965422,,,,,,,
90,Allama Abul Khair,"Vill.: Raroapara, Post:",2142,8-Oct-06,8-Oct-16,8-Oct-21,Chittagong,Bangladesh,
,Foundation,"Chunnapara, Upazilla:",,,,,,,
,,"Anowara, Dist.: Chittagong.",,,,,,,
,,Www.aakfoundation.org,,,,,,,
91,Allama Fazlullah,"Vill: Babunagar (Mokkarbari),",1770,1-Dec-02,1-Dec-17,1-Dec-27,Chittagong,Bangladesh,
,Foundation,"PO: Deodighi, UZ: Satkania,",,,,,,,
,,Dist: Chittagong.,,,,,,,
,,Phone: 031-2551654,,,,,,,
92,Alliance for Cooperation,"8/13, Block-C, Tajmohal Road,",2053,1-Jan-06,12-Oct-15,12-Oct-20,Dhaka,Bangladesh,
,and Legal Aid Bangladesh,"Mohammadpur, Dhaka-1207.",,,,,,,
,(ACLAB),www.aclabbd.org,,,,,,,
93,Al-Manar Islami Sangstha,"Shaltha, Faridpur.",1843,18-Jun-03,18-Jun-08,18-Jun-13,Faridpur,Bangladesh,
94,Aloha Social Services,"Ali Manjil, Balubari, Dinajpur-",1532,7-Jun-00,7-Jun-15,7-Jun-20,Dinajpur,Bangladesh,
,Bangladesh,5200,,,,,,,
,,Phone :0531-64644,,,,,,,
95,Alok Bangla (An Initiative,"House-119, Road-07, Shah Ali",2484,29-Sep-09,29-Sep-14,29-Sep-19,Dhaka,Bangladesh,
,to Promote People's Self-,"Bagh, Mirpur-1, Dhaka.",,,,,,,
,Help),Phone: 9012393,,,,,,,
96,Alokito Manob Unnayan,"JNC Road-1, House-215,",3083,11-Jan-17,,11-Jan-22,Rangpur,Bangladesh,
,Songstha (AMUS),"Alamnagar, Rangpur.",,,,,,,
,,Phone: 01718644757,,,,,,,
97,Alokito Path,"Montana, Satkania, Chittagong.",2153,6-Nov-06,6-Nov-16,6-Nov-26,Chittagong,Bangladesh,
98,Alokon,"103/A, Mohammadpur,",1892,9-Dec-03,9-Dec-13,9-Dec-18,Chittagong,Bangladesh,
,,"Pachlaish, Chittagong.",,,,,,,
,,"Phone : 01711-122580, 031-",,,,,,,
,,650547,,,,,,,
99,Alor Disha Mohila,"74/3, Satish Chandra Saha",2453,2-Jun-09,2-Jun-14,2-Jun-19,Kustia,Bangladesh,
,Sangstha,"Lane, Kustia",,,,,,,
,,Phone: 01711-935253,,,,,,,
100,Alor Dishari Sangstha,"Malotinagar, Dubil,",2265,26-Aug-07,,26-Aug-12,Sirajganj,Bangladesh,
,(ADS),"Raygonj,Sirajgonj.",,,,,,,
101,Alor Dishary Mohila,"Goalanda, Rajbari",2961,25-Aug-15,,25-Aug-20,Dhaka,Bangladesh,
,Unnayan Sangstha,Phone: 01727-211905,,,,,,,
102,Alor Pathe Nobojatray,"74/B/1, RH Home Center, Suite-",3027,9-Jun-16,,9-Jun-21,Dhaka,Bangladesh,
,Foundation,"641, Level-7, Green Road,",,,,,,,
,,"Farmgate, Dhaka",,,,,,,
,,Phone: 01534508932,,,,,,,
,,www.aponfoundation.org,,,,,,,
103,Alor Pothey,"Vill: Madhupur, P.O: Dharoni",1124,26-Jan-97,26-Jan-17,26-Jan-27,Kurigram,Bangladesh,
,,"Bari, P.S: Ulipur, Dist: Kurigram",,,,,,,
104,Aloran,Vill.: West Gomdhandi,2205,8-Mar-07,8-Mar-12,8-Mar-17,Chittagong,Bangladesh,
,,"Prathomic Shikkhak Bhaban,",,,,,,,
,,"Buripukurpar, Post+Upazilla:",,,,,,,
,,"Boalkhali, Dist.: Chittagong.",,,,,,,
,,Phone: 01711-487884,,,,,,,
105,Alore Disha Foundation,"College Para, Upazila : Kalia, Dist:",3172,14-Nov-18,,14-Nov-28,Narail,Bangladesh,
,,Narail,,,,,,,
,,Mob: 0172659247,,,,,,,
106,Aloshika Social,"Vill: Auliapur, PO: Maydan",3012,29-Feb-16,,28-Feb-21,Patuakhali,Bangladesh,
,Development Organization,"Madrasha, Upazila: Patuakhali",,,,,,,
,,"Sadar, Dist: Patuakhali.",,,,,,,
,,Phone: 01924699282,,,,,,,
107,Aloshikha Rajihar Social,"Vill. & P.O. Rajihar, Agailjhara,",324,1-Nov-89,11-Jan-14,11-Jan-19,Barisal,Bangladesh,
,Development Centre,Barisal,,,,,,,
108,Aloshikha Womens,"House-09(4th Floor), Road-02,",2849,20-Feb-14,,20-Feb-19,Dhaka,Bangladesh,
,Welfare Association,"North Adabor, Baitul Aman",,,,,,,
,,"Housing Society, Adabor, Dhaka",,,,,,,
,,Phone: 01819-251911,,,,,,,
109,Alternative Approach,"Azim Monjil, Bayrapur, Comilla.",1895,23-Dec-03,23-Dec-08,23-Dec-13,Comilla,Bangladesh,
,,Phone: 01915794195,,,,,,,
110,Alternative Development,"11/1, Iqbal Road, Block-A",902,18-Feb-95,18-Feb-05,18-Feb-10,Dhaka,Bangladesh,
,Initiative,"(Ground Floor), Mohammdpur,",,,,,,,
,,Dhaka,,,,,,,
,,Phone : 9126810,,,,,,,
111,Alternative Development,"Vill.: Arajigopinatpur, Post:",2321,23-Mar-08,23-Mar-13,23-Mar-18,Pabna,Bangladesh,
,Society (ADS),"Gowrigram, Upazilla: Sathia,",,,,,,,
,,Dist.: Pabna.,,,,,,,
112,AMAN (Association for,"2/2, Lalmatia, Block-A, Mirpur",980,19-Oct-95,19-Oct-15,19-Oct-20,Dhaka,Bangladesh,
,Muslim Advancement,"Road, Dhaka.",,,,,,,
,Network),"Phone: 01711-486534, Fax:",,,,,,,
,,8356249,,,,,,,
,,www.amanbd.org,,,,,,,
