num_var,ngo_name,ngo_address,reg_no,reg_date,renewed_on,valid_until,district,country,remarks
24,"Danish Bangladesh
Laprosy Mission","House-483, Road-32, Mohakhali
DOHS (New), Dhaka-1206
Phone: 9882058
www.leprosymission.org",39,27-Aug-81,15-May-20,15-May-30,Dhaka,Denmark,
25,Danish Refugee Council,"House-112/2, Road-03, Block-F,
3rd Floor, Banani, Dhaka-1213
Phone: 01715-895509",2804,30-Jul-13,30-Jul-18,30-Jul-28,Dhaka,Denmark,
26,"Bangladesh Lutheran
Mission, Finnish","Bangabaria, Naogaon-6500
Phoe: 0741-62421",49,22-Apr-81,15-May-20,15-May-30,Naogaon,Finland,
27,"Fida International
Bangladesh","346 East Padardia, Satarkul Road,
North Badda, Dhaka-1212
Phone: +88-02-9895698",38,22-Apr-81,15-May-20,15-May-30,Dhaka,Finland,
28,Action Contre La Faim,"House-23, Road-113/A, Gulshan-2,
Dhaka.
Phone: 8810132, 8810347
www.actioncontrelafaim.org",2330,03-Apr-08,03-Apr-18,03-Apr-28,Dhaka,France,
29,"Handicap International
Federation.","House-SW(F) 1/A, Road-4,
Gulshan-1, Dhaka-1212
Phone: +88-02-9859794, Fax: +88-
02-8819128
www.handicapinternational.org",1575,15-Oct-00,15-Oct-20,15-Oct-30,Dhaka,France,
,,,,,,,,,
30,"Medecins du Monde-
France","Gamsia Paradido, Road-16/A, Plot-
1/B, Floor-N-6, Apartment-B6,
Gulshan-1, Dhaka
Mob: 01796616414",3224,04-Nov-19,,04-Nov-29,Dhaka,France,
31,"Medecins Sans
Frontieres - France","Khaja Palace, 5th Floor, Plot-76,
Road-11, Banani, Dhaka-1213
Phone : 8814324",665,11-Nov-92,11-Nov-22,10-Nov-32,Dhaka,France,
32,"Premiere Urgence
International (PUI)","Apt-101, 72, Park Road, Baridhara,
Dhaka.",2413,25-Feb-09,25-Feb-14,25-Feb-24,Dhaka,France,"Name
change"
33,Solidarities International,"House-15, Apartment-502, Road-
124, Gulshan-1, Dhaka-1212
Phone: 01727-675549
www.solidarites.org",2383,05-Aug-08,05-Aug-18,05-Aug-28,Dhaka,France,
34,Solinfo Association,"House-142, Road-12, Block-F,
Banani, Dhaka-1213
Phone: 01726-800870
www.solinfo.asso.fr",2087,12-Apr-06,12-Apr-16,11-Apr-26,Dhaka,France,
35,"Street Children Partners
Bangladesh","House-16, Road-05, Block-F,
Section-2, Mirpur, Dhaka.
Phone: 9010863",1842,18-Jun-03,18-Jun-18,18-Jun-28,Dhaka,France,
36,"Water & Life
Bangladesh","Flat-5A, 7/8 Sir Syed Road, Asad
Gate, Mohammedpur, Dhaka.
Phone: 01730-641333",2802,24-Jul-13,24-Jul-18,24-Jul-28,Dhaka,France,
37,ACTED,"House-394(4th Floor), Lane-6,
Baridhara, DOHS, Dhaka
Phone: 01818370307",3300,29-Jun-22,,28-Jun-32,Dhaka,France,
38,"Andheri Hilfe
Bangladesh","House-380, Road-28, New DOHS,
Mohakhali, Dhaka.
Phone: 01754-445505",2635,06-Apr-11,06-Apr-21,06-Apr-31,Dhaka,Germany,
39,CAP Anamur,"House-70-71 (3rd Floor), Road-3,
Janata Housing Society, Ring
Road, Adabar, Mohammadpur,
Dhaka-1207",2307,20-Feb-08,20-Feb-18,20-Feb-28,Dhaka,Germany,
40,"Friedrich Ebert Stiftung
(FES)","House-10, Apartment-302, Level-
02, Road-96, Gulshan-2, Dhaka-
1212
Cell Phone: 01714-092811, 01412-
863209",2773,18-Mar-13,18-Mar-18,18-Mar-28,Dhaka,Germany,
41,"Friedrich Naumann
Foundation","House-21, Road-11, Sector-06,
Uttara, Dhaka.
Phone: 8913953",2675,14-Feb-12,14-Feb-17,14-Feb-27,Dhaka,Germany,
42,"Helvetas
Intercooperation
German","House-13/A, NE)K), Road-83,
Gulshan-2, Dhaka.
Phone: 028815688",3099,01-Nov-17,,01-Nov-27,Dhaka,Germany,
43,"Konrad Adenuer
Stiftung","Jarman House, Road-90, 10/C,
Gulshan-2, Dhaka.
Phone: 9988817",2813,04-Sep-13,,04-Sep-18,Dhaka,Germany,
44,"NETZ partnership for
Development and
Justice","House-3/1, Block-D, (4th & 6th
Floor), Lalmatia, Dhaka-1207
Phone: 9667018, Fax: 8626764",1865,07-Aug-03,07-Aug-18,07-Aug-28,Dhaka,Germany,
,,,,,,,,,
45,"Welt hungerhilfe
Bangladesh","13A/4A Babar Road (1st Floor),
Mohammadpur, Dhaka
Phone:",3280,15-Nov-21,,15-Nov-31,Dhaka,Germany,
46,Included,"Appartment A/1, 47 West
Agargaon, Dhaka.
Phone: 9144752",2818,26-Sep-13,,26-Sep-18,Dhaka,Hangkong,
47,"Solidarided Network
Asia","Appartment-A/1 (1st Fl.), Plot-32
(New), 631 (Old), Dhanmondi,
Dhaka.
Phone: 01712-187988",2827,30-Oct-13,30-Oct-18,30-Oct-28,Dhaka,Hangkong,
48,Missionaries of Charity,"Shishu Bhaban, 26, Islampur Road,
Dhaka
Phone : 7391116, 01732-711050",58,22-Apr-81,15-May-20,15-May-30,Dhaka,India,
49,Ramkrishna Mission,"27, R.K. Mission Road, Dhaka-1203
Phone : 955370, 9564055",16,22-Apr-81,15-May-20,15-May-30,Dhaka,India,
50,CONCERN - Worldwide,"House-15, SW(D), Road-07,
Gulshan-01, Dhaka-1212
Phone: 58811469
Fax: 8817517
www.concern.net",31,22-Apr-81,15-May-21,15-May-31,Dhaka,Ireland,
51,"Center for Orientation
and Educational (COE)","House-443/1, Christian Para, Boro
Boyra, Khulna-9000
Phone: 01710-0963787",2476,25-Aug-09,,25-Aug-14,Khulna,Italy,
52,Life & Life Onlus,"House-67, Road-11/A, Dhanmondi,
Dhaka
Phone: 01716-790378",2992,07-Jan-16,,07-Jan-21,Dhaka,Italy,
53,"Pang Ono, Pang Ono
(ONLUS)","Masuadanga, Tilok, Rupsha,
Khulna
Phone: 01715-771591",2845,18-Dec-13,18-Dec-18,18-Dec-28,Khulna,Italy,"Name
change on
21/12/2016"
54,"Progetto Uomo Rishilpi
International Onlus","Gopinathpur, Binerpota, Satkhira-
9400
Phone : 0471-63527, Fax: 0471-
63027
www.prouomorishilpi.org",215,24-Feb-87,24-Feb-22,23-Feb-32,Sathkhira,Italy,
55,"Terre des Homes
Foundation-Italy","House-3B, Road-84, Gulshan-02,
Dhaka-1212
Phone: 8818895,Fax: 9887435,
01711-548742
E-mail: dhaka@tdhitaly.org",1561,30-Aug-00,30-Aug-20,30-Aug-30,Dhaka,Italy,
56,Asia Arsenic Network,"House-46, Road-13/C, Block-E,
Banani, Dhaka-1213.
Phone: 9894493, Fax: 9894498",1609,16-Jan-01,16-Jan-21,15-Jan-31,Dhaka,Japan,
57,"Asian Industrial and
Technical Development
Association (AITDA)","House # 1/E, Road # 2, Sector # 3,
Uttara, Dhaka
Phone : 231669",752,18-Sep-93,18-Sep-03,18-Sep-08,Dhaka,Japan,
58,"Association of Medical
Doctors for Asia
(AMDA)","House-27, Road-114, Gulshan,
Dhaka
Phone : 8827575",657,20-Oct-92,20-Oct-12,20-Oct-22,Dhaka,Japan,
59,BHN Association,"Mallika, 24/5, Prominent Housing, 3
Piciculture Road, Mohammadpur,
Dhaka.
Phone: 01713-130666",2767,26-Feb-13,,26-Feb-18,Dhaka,Japan,
,,,,,,,,,
60,Hunger Free World,"2/8, Block-F, Lalmatia, Dhaka
Phone : 8121280, 01711-526979
www.hfwbd.com",1735,09-Sep-02,09-Sep-17,09-Sep-27,Dhaka,Japan,
61,"International Angel
Association","Konabari, P.O. Nilnagar, Gazipur
Phone : 9297138, 9297164",220,05-May-87,15-May-17,15-May-27,Gazipur,Japan,
62,"JACE(Japan Asia
Cultural Exchanges)","24, Motijheel R/A (10th Fl)
Dhaka.",1921,19-Apr-04,,19-Apr-09,Dhaka,Japan,
63,"Japan Association of
Drainage and
Environment (JADE)","House-66 (Flat-A4), Road-08, Block-
C, Niketon, Gulshan-1, Dhaka-1212
Phone: 9899574
www.jade-bd.org",2268,06-Sep-07,06-Sep-11,06-Sep-16,Dhaka,Japan,
64,"Japan Bangladesh
Cultural Exchange
Association","Navaron(Shatkhera Mor), P.O:
Jadobpur, Thana: Sarsa, Dist:
Jessore
Phone: 04228-759060",1415,29-Aug-99,29-Aug-19,29-Aug-29,Jessore,Japan,
65,Nakagawa Trust,"Village: South Salna, P.O:Salna
Bazar, Thana: Joydebpur, Gazipur.
Phone: 9204948",1515,15-Apr-00,20-Apr-20,20-Apr-30,Gazipur,Japan,
66,"Nigata International
Volunteer Centre
Bangladesh","3/7, Block-B(2nd floor), Lalmatia,
Dhaka
Phone : 913022",1531,07-Jun-00,07-Jun-05,07-Jun-10,Dhaka,Japan,
67,OISCA-IDB (JAPAN),"Vill: Narsingpur, PO: Zirabo, PS:
Ashulia, Savar, Dhaka
Phone: 01819-252004",80,22-Apr-81,15-May-20,15-May-30,Dhaka,Japan,
68,"Okatani Brestfeeding
Method Training
Enhancement Project","Institute of Child & Mother Health,
Matuail, Dhaka
Phone: 01819-223560",2841,28-Nov-13,,28-Nov-18,Dhaka,Japan,
69,"Peoples for Rainwater
(P.R) Bagladesh","House-05 (3rd Floor), Road-17,
Block-E, Banani, Dhaka-1213",2684,11-Mar-12,11-Mar-17,11-Mar-22,Khulna,Japan,
70,"Rissho Kosei-Kai,
Bangladesh","85/A, Chanmari Road, Hilside R/A,
Lalkhan Bazar, Khulsi, Chittagong
Phone: 8413855",2532,26-Jan-10,26-Jan-20,26-Jan-30,Dhaka,Japan,
71,"School Aid Japan-
Bangladesh","Narayankul, Pubail, Sadar, Gazipur
Mob: 01782745414",3185,20-Jan-19,,20-Jan-29,Gazipur,Japan,
72,"Shapla Neer (Help
Bangladesh Committee)","House-1/9, Flat-6A & 6B(6th Floor),
Block-A, Lalmatia, Mohammadpur,
Dhaka-1207
Phone: 8802-58157790,
01711628124",111,29-Oct-81,15-May-20,15-May-30,Dhaka,Japan,
73,"The Reiyukai
Bangladesh","59 East Basabo, Sabujbagh, Dhaka-
1219
Phone: 01819-338414, 01819-
338418",2173,07-Dec-06,07-Dec-11,07-Dec-16,Dhaka,Japan,
74,"Association for Aid and
Relief, Japan (AAR
Japan)","3, F, Building-4, Flat-43001,
Syaman Haritage Residnt, Syaman
Road, Baharchara, Cox'sBazar",3274,17-May-21,,17-May-31,Cox'sBazar,Japan,
,,,,,,,,,
75,Peace Winds Japan,"House-196/1, Boro Moghbazar,
Ramna, Dhaka
Phone: 01821-850075",3279,26-Oct-21,,26-Oct-31,Dhaka,Japan,
76,"Kuwait Society for
Relief (KSR)","House-2, Road-6/A, Sector-4,
Uttara, Dhaka
Phone : 8914926, Fax: 8917134",651,19-Sep-92,19-Sep-17,19-Sep-27,Dhaka,Kuwait,"Name
change on
02/11/2017"
77,"Society of Social and
Technological Support","House-24, Road-08, Sector-06,
Uttara, Dhaka.
Phone: 8915338
www.ssrbd.org",760,25-Oct-93,25-Oct-18,25-Oct-28,Dhaka,Kuwait,
78,"Arsenic Mitigation and
Research Foundation","Shologhar Bus Stand, Vill:
Shologhar, UZ: Sreenagor, Dist:
Munshiganj.
Phone: 01711-391521",1844,19-Jun-03,19-Jun-18,19-Jun-28,Munshiganj,Netherlands,
79,"BASUG-Diaspora &
Development
(Bangladesh Chapter)","DIPSHIKHA Bhaban, 282/5, 1st
Colony, Mazar Road, Mirpur-01,
Dhaka-1216
Phone: 01714-045547",2683,06-Mar-12,06-Mar-17,06-Mar-22,Dhaka,Netherlands,
80,F H Association,"House # 81, Road-04, Block # B,
Banani, Dhaka.
Phone : 9880826, 9894382",102,28-Aug-81,16-Jul-20,16-Jul-30,Dhaka,Netherlands,
81,"Gender and Water
Alliance (GWA)","House-16, Road-30, Gulshan-1,
Dhaka
Phone: 01743-800963",2897,19-Oct-14,,19-Oct-19,Dhaka,Netherlands,
82,Stichting Cordaid,"House-14(7th Floor), Road-32,
Gulshan-1, Dhaka-1212
Phone: 01777761207",2834,19-Nov-13,19-Nov-18,19-Nov-28,Dhaka,Netherlands,
83,"International Network of
Alternative Financial
Institutions (INAFI)","Flat-9-A, Confidence Centre, Kha/9,
Shahzadpur, Pragati, Sarani,
Gulshan, Dhaka-1212
Phone: 9890835, 8837983",1888,13-Nov-03,13-Nov-18,13-Nov-28,Dhaka,Netherlands,
84,"Medicins Sans
Frontieres - Holland","House # 102, Road-13/C, Block-E,
Banani, Dhaka.
Phone : 8861690, Fax : 8814324",664,11-Oct-92,10-Nov-17,10-Nov-27,Dhaka,Netherlands,
85,Oxfam Novib,"House-4, Road-3, 1 Banani, Dhaka.
Phone: 01713-068380",2840,28-Nov-13,28-Nov-18,28-Nov-28,Dhaka,Netherlands,
86,"Stiching Land
Ontwikkelings Project
Bangladesh (SLOPB)","House-143/Ka (3rd Floor), Road-
05, PC Culture Housing Society,
Shaymoli, Mohammadpur, Dhaka-
1207
Phone: 9110740",1143,08-Mar-97,08-Mar-17,08-Mar-27,Dhaka,Netherlands,
87,"Stichting Max
Foundation","JKH Windsel, Level-4, Ka-90,
Pragati Sarani, Dhaka
Phone: 31-624505000",2855,06-May-14,06-May-19,06-May-29,Dhaka,Netherlands,
88,"Terre-Des-Homes
(Netherlands)","House-18B (New), 670/A (Old),
Road-11 (New), 32 (Old),
dhanmondi R/A, Dhaka
Phone: 8130999",40,22-Apr-81,15-May-20,15-May-30,Dhaka,Netherlands,
89,International Needs,"House-28, Road-07, Block-E,
Banasri, Rampura, Dhaka.
Phone: 7286553, 7286018",88,22-Apr-81,15-May-20,15-May-30,Dhaka,New Zealand,
,,,,,,,,,
90,Tranzsend-Bangladesh,"Mission House, Mission Road, Post
Box-3, Chandpur.
Phone: 0841-66556",74,22-Apr-81,15-May-20,15-May-30,Chandpur,New Zealand,
91,Normisjon Bangladesh,"House-99, Flat-A-2, Road-4/25,
Block-A, Banani, Dhaka
Phone: 8850334, Fax: 8850335",108,15-Oct-81,15-May-20,15-May-30,Dhaka,Norway,
92,"Norwegian Refugee
Council","281D, Road-19-C, Mohakhali DOHS,
Dhaka.",3173,19-Nov-18,,19-Nov-28,Dhaka,Norway,
93,Stromme Foundation,"B/137(1st Floor), Road-22, New
DoHS, Mohakhali, Dhaka.
Phone: 9858683
www. Stromme.org",508,31-Jul-91,31-Jul-21,31-Jul-31,Dhaka,Norway,
94,Qatar Charity,"House-51, Road-13, Block-E,
Banani, Dhaka-1213.
Phone : 9883439, Fax: 9872941",929,19-Apr-95,19-Apr-20,19-Apr-30,Dhaka,Qatar,
95,"Al Haramain Islamic
Foundation","House-1, Road-1, Sector-6, Uttara,
Dhaka
Phone : 8912120",648,17-Sep-92,17-Sep-02,17-Sep-07,Dhaka,Saudi Arabia,"Office &
Operation
closed in
Bangladesh
from 2004."
96,Al-Forqan Foundation,"137 Auspara, Tongi, Gazipur.
Phone: 9802014, 9802015
Fax: 9803005",1791,22-Jan-03,22-Jan-18,22-Jan-28,Dhaka,Saudi Arabia,
97,"International
Organisation for Relief,
Welfare & Development-
IORWD","House-13/1, Road-12, Baridhara,
Gulshan-02, Dhaka-1212
Tel: (+8802-35435), (+8802-35436)
bangladesh@iirosa.org",563,26-Nov-91,26-Nov-21,25-Nov-31,Dhaka,Saudi Arabia,"Name
Change on
27/03/2019"
98,"Rabeta Al Alam Al
Islam","H-5/5, Gaznabi Road, Block-B,
Mohammadpur, Dhaka-1207
Phone : 9121027",110,19-Oct-81,15-May-07,15-May-12,Dhaka,Saudi Arabia,
99,"World Assembly of
Muslim Youths","House-17, Road-5, Sector-7, Uttara
Model Town, Dhaka
Phone : 8919123",1470,20-Jan-00,20-Jan-05,20-Jan-10,Dhaka,Saudi Arabia,
100,"Alacrity for Poverty
Alleviation in
Bangladesh (APAB)","22, Amirabad, Mahedibag R/A,
Chittagong-4000
Phone: 031-613028, Fax: 031-
610785",641,30-Jul-92,30-Jul-17,30-Jul-27,Chittagong,South Korea,
101,Global Vision,"House-23(6th Floor), Road-16,
Sector-12, Uttara, Dhaka-1230
Phone: 01726-593857, 01761-
926518",2870,10-Jul-14,,10-Jul-19,Dhaka,South Korea,
102,"Good Neighbours Inc. in
Bangladesh","Plot # 05, Road # 02, Block-A,
Barua, Khilkhet, Dhaka-1229,
IP Phone: +88-09613858585
Fax: +88-02-8412029
www.gnbangla.org",1056,18-Aug-96,18-Aug-21,17-Aug-31,Dhaka,South Korea,
103,"Good Peoples
International
Bangladesh","House-13, Avenue-1, Block-F,
Section-2, Mirpur, Dhaka-1216
Phone: 01684683655
email: gpibd2012@gmail.com",2706,30-May-12,30-May-17,30-May-27,Dhaka,South Korea,
104,"Heart to Heart
Foundation","Vill: Karamtola, PO: Pubail,
Upazila: Gazipur, Dist: Gazipur
Phone: 01715-047732",2919,23-Feb-15,23-Feb-20,23-Feb-30,Gazipur,South Korea,
,,,,,,,,,
105,Hope Bangladesh,"House-236/A, Block-c, Bashundara
R/A, Dhaka.
Phone: 01713-020668",2921,02-Apr-15,02-Apr-20,02-Apr-30,Dhaka,South Korea,
106,"Korean Civil Cultural
Center","House-01, Road-05, Baridhara,
Dhaka
Phone: 01740992588",2098,31-May-06,31-May-21,30-May-31,Dhaka,South Korea,
107,"Korean Development
Association in
Bangladesh (KDAB)","218/3/A West Kafrul (6th Fl.),
Taltola, Begum Rokeya Sarani,
Dhaka-1207.
Phone: 9103691-2, Fax: 9103693
www.kdaborg.net",334,03-Jan-90,03-Jan-20,03-Jan-30,Dhaka,South Korea,
108,"Presbyterian
Fellowship in
Bangladesh","Vill: Karamtalo, Post : Pobail, Dist:
Gazipur.
Phone: 02-9814091",121,14-Jan-82,15-May-20,15-May-30,Dhaka,South Korea,
109,Rodem Foundation,"House-266, Lane-3, Baridhara New
DOHS, Dhaka.
Phone: 01715-016732",2822,09-Oct-13,09-Oct-18,09-Oct-28,Dhaka,South Korea,
110,"Samsal Bangladesh
(Skip A Meal Save A
Life)","68/C, (3rd Floor), Zigatola, Dhaka-
1209.
Phone: 01720-581722
www.samsal.org",2455,09-Jun-09,09-Jun-19,09-Jun-29,Dhaka,South Korea,
111,"SMC (Sacheon Multi
Cultural Intigration
Support Center","House-24 (Gr. Fl.), Road-4, Sector-
12, Uttara, Dhaka.
Phone: 01779-479566",2826,30-Oct-13,30-Oct-18,30-Oct-28,Dhaka,South Korea,
112,Well International,"House-06, Ward-03, Road-03,
Solmaid, Ferajitola, Badda, Dhaka.
Phone: 01716-817476",2243,13-Jun-07,13-Jun-17,13-Jun-27,Dhaka,South Korea,
113,World Life,"Holding-11/15, Block-K, Pastrim
Bilashpur, Joydebpur, Gazipur-
1700
Phone: 01680-221554",2109,11-Jul-06,11-Jul-21,11-Jul-31,Dhaka,South Korea,
114,"Global Relief Agape in
Solidarity Bangladesh","Vill: Jamatali, Pallongkali, Union:
Ukhiya, CoxsBazar",3260,11-Jan-21,,11-Jan-31,CoxsBazar,South Korea,
115,"AIDA, Ayuda,
Intercambio Y
Desarrollo","Flat-5A, House-487, Road-08,
DOHS Baridhara, Dhaka
Phone: 01745-777219
Www.ong-aida.org",2441,26-May-09,26-May-19,26-May-29,Dhaka,Spain,
116,"Education and
Development
Foundation-Educo","Road-34, House-504 (2nd, 3rd, 4th
Floors), Mohakhali DOHS, Dhaka-
1206,
Phone:8813246, 8816367
www.intervida.org",1452,05-Dec-99,05-Dec-19,05-Dec-29,Dhaka,Spain,
117,"Fundacion Ayuda
Humanatarian A
Bangladesh an Espana","Vill.: Choto Gara, Post+Thana:
Netrakona, Dist: Netrakona.
Phone: 01718-023499",2417,02-Mar-09,,02-Mar-14,Netrakona,Spain,
118,"Fundacion ETEA Para
EL Desarrollo Y LA
Cooperacion","House-Ta-118/3, Middle Badda,
Pragoti Sharani, Gulshan, Dhaka-
1212
Phone: 02-883706, 01713-161201",2728,12-Sep-12,,12-Sep-17,Dhaka,Spain,
119,"Medicins Sans Frontieres
(MSF) Spain","Flat-2, Floor-2, Road-25, House-97/A,
Block-A, Banani, Dhaka-1213.",3170,14-Nov-18,,14-Nov-28,Dhaka,Spain,
,,,,,,,,,
120,Islamic Relief Agency,"House # 12, Rd-15, Sector-4,
Uttara Model Town, Dhaka
Phone : 8916096",528,31-Aug-91,31-Aug-06,31-Aug-11,Dhaka,Sudan,
121,"DIAKONIA / Swedish
Free Church Aid","House-5/8, First floor, Block-B,
Lalmatia, Dhaka
Phone : 9121256, Fax: 9121257
www.diakonia.selenglish",1,22-Apr-81,15-May-20,15-May-30,Dhaka,Sweden,
122,Interlife Bangladesh,"House-5/A, Rd-25/A, Banani,
Dhaka
Phone : 9881594",13,22-Apr-81,15-May-05,15-May-10,Dhaka,Sweden,
123,M.A.F. Bangladesh,"House-299, Lane-4, DOHS,
Baridhara, Dhaka
Phone : 8410164, Fax: 8410165
www.mafbangladesh.org",933,04-May-95,04-May-20,04-May-30,Dhaka,Sweden,
124,"Save the Children-
Sweden","House-9, Road-16, Circle-1,
Gulshan-1, Dhaka
Phone : 8828118, Fax: 8810448
www.savethechildren.dk.rb.se",27,22-Apr-81,15-May-10,15-May-15,Dhaka,Sweden,
125,Caritas Switzerland,"House-9/A (5th Floor), Road-15
(New), Dhanmondi, Dhaka.
Phone: 9114133",2848,05-Feb-14,05-Feb-19,05-Feb-29,Dhaka,Switzerland,
126,"Enfants Du Monde
(International Union for
Child Welfare)","House 9/A(3rd Floor), Rd-15(New),
Dhanmondi R/A., Dhaka
Phone : 9114133, Fax: 8112838",76,22-Apr-81,15-May-20,15-May-30,Dhaka,Switzerland,
127,HEKS,"House-9A (3rd Floor), East Side,
Road-15(New), Old-28,
Dhanmondi, Dhaka.
Phone: 9116943, Fax: 8112838
www.heks.ch",2255,24-Jul-07,24-Jul-17,24-Jul-27,Dhaka,Switzerland,
128,"Helvetas Swiss
Intercooperation","House-30 CWN (A), Road 42/43,
Gulshan-2, Dhaka,
infobd@helvetas.org,
helvetas.org/bangladesh",1581,06-Nov-00,06-Nov-20,06-Nov-30,Dhaka,Switzerland,
129,"Swisscontact-
Bangladesh","House-19, Road-11, Baridhara,
Dhaka-1212
Phone: 88-02-9882663, 88-02-
9883496
www.swisscontact.org.bd",2392,16-Nov-08,16-Nov-18,16-Nov-28,Dhaka,Switzerland,
130,"Syngenta Foundation
for Sustainable
Agriculture Bangladesh
(SFSA Bangladesh)","House-2/1-A, Block-G, Lalmatia,
Dhaka
Tel: 8100437",3119,18-Dec-17,,18-Dec-27,Dhaka,Switzerland,
131,"Terre-Des-Homes
Foundation (Swiss)","House-141, Road-04, Block-A, Apt.
A5, Banani, Dhaka.
Phone: 8835114, Fax: 8835115
www.tdh.ch",32,22-Apr-81,15-May-20,15-May-30,Dhaka,Switzerland,
132,"The Global Alliance for
Improved Nutirtion","Appt-A/3 (2nd Fl.), House-
New(B)/1 2/1, Road-71, North
Gulshan-2, Dhaka.",2785,12-May-13,12-May-18,12-May-28,Dhaka,Switzerland,
