num_var,ngo_name,ngo_address,reg_no,reg_date,renewed_on,valid_until,district,country,remarks
13,"Access Bangladesh
Foundation","10 Tarapur, Savar, Dhaka.
Phone: 7743145, Fax: 7743480
www.accessbangladesh.org",2461,18-Jun-09,18-Jun-19,18-Jun-29,Dhaka,Bangladesh,
14,"Access Toward
Livelihood and Welfare
Organisation (ALWO)","81/80, Hazra Natore, Post: Natore-
4600, PS: Natore, Dist: Natore.
Phone: 0771-61255",2102,06-Jun-06,06-Jun-21,05-Jun-31,Natore,Bangladesh,
15,"Acid Survivours
Foundation","Plot-A/5, Level-6, CRP Bhaban,
Block-A, Sec-14, Mirpur, Dhaka-
1200
Phone: 09678777148
www.acidsurvisors.org",1501,09-Apr-00,09-Apr-20,09-Apr-30,Dhaka,Bangladesh,
16,Action Five,"Gaokura, Kacharipara, Islampur,
Jamalpur
Phone: 01728-782643",2830,04-Nov-13,04-Nov-18,04-Nov-28,Jamalpur,Bangladesh,
17,"Action for Rural Poor
(ARP)","Upazila Road, Bakshigonj,
Jamalpur
Phone: 01716-763785",2796,27-Jun-13,27-Jun-18,27-Jun-28,Jamalpur,Bangladesh,
18,"Action for Social
Development (ASD)","6/2A, Sir Syed Road,
Mohammadpur, Dhaka.
Phone : 9118475, Fax: 9118475
www.asd.org.bd",488,08-Jun-91,08-Jun-16,08-Jun-26,Dhaka,Bangladesh,
19,Action in Bangladesh,"Sadar Road, Kalai, P.O Box No.
5390, Kalai, Joypurhat.
Phone: 215-222-442",2601,05-Oct-10,,05-Oct-15,Joypurhat,Bangladesh,
20,"Activities for the
Landless Organised
with Consciousness
(ALOC)","Patkelgata Bazar, Thana: Tala,
Satkhira",439,05-Feb-91,05-Feb-15,05-Feb-20,Sathkhira,Bangladesh,"Cancelled on
25/10/2010,
Revived on
12/5/2016"
21,"Activity for Reformation
of Basic Needs-ARBAN","Vill Rajapara, PO: Purbadhala,
Netrakona",3077,03-Jan-17,03-01-22,02-Jan-32,Netrakona,Bangladesh,
22,"ADAMS (Association for
Development Activity of
Manifold Social Work)","Kedarnath Road, Moheswarpasha,
Post. B.I.T. Khulna
Phone : 041-774426, Fax: 041-
774048",855,13-Sep-94,13-Sep-19,13-Sep-29,Khulna,Bangladesh,
23,"Adarsha Kajer
Sandhanay (AKAS)","House-28, Masjidbari Road
(Takdari Patti), P.O.+P.S.+Dist.:
Jhalokathi.
Phone: 01711-286349, 01717-
655622",2434,05-Jun-09,,05-Jun-14,Jhalokathi,Bangladesh,
24,Adarsha Seba Sangstha,"Uttar Plaza, Mahimaganj Road,
Gobindaganj, Gaibandha.",974,10-Oct-95,10-Oct-15,10-Oct-20,Gaibandha,Bangladesh,"Cancelled on
25/10/2010,
Revived on
18/12/2014"
25,Ad-Din Welfare Centre,"15, Rail Road, Jessore
Phone : 0421-68820, Fax: 0421-
68807",347,30-Jan-90,30-Jan-20,30-Jan-30,Jessore,Bangladesh,
26,"Adhikar Unnayan
Sangstha","House-67/A, (2nd Floor), Road-8/A,
Dhanmondi, Dhaka.
Phone: 9115180",2421,15-Mar-09,,15-Mar-14,Dhaka,Bangladesh,
27,Adhunik,"63, Central Road, Dhanmondi,
Dhaka-1205
Phone: 02-8614959",1149,29-Mar-97,20-Mar-12,20-Mar-17,Dhaka,Bangladesh,
28,"Adhunika Bangladesh
Society (ABS)","107/1 Azimpur Road, Azimpur,
Dhaka-1205",2270,12-Sep-07,,12-Sep-12,Dhaka,Bangladesh,
29,"Adibashi Unnayan
Sangstha","Hazra Villa, Holding No-54,
Betiapara, Park Gate, Vatapara,
Rajshahi-6000.
Phone: 01715-210096",1190,01-Oct-97,01-Oct-17,01-Oct-27,Rajshahi,Bangladesh,
30,"Adibasi Development
Organization (ADO)","Chakbeni, Post.: Jabaripur Hat,
Upazila: Badalgachi, Dist.:
Nowgaon",2341,21-Apr-08,,21-Apr-13,Naogaon,Bangladesh,
31,"Adivashi Samaj
Unnayan Sangstha","Bengozol, Natore.
Phone: 01711-574420",2599,30-Sep-10,30-Sep-15,30-Sep-20,Natore,Bangladesh,
32,ADORE,"111 (Old-65), Islampur Road,
Khulna-9100
Phone: 041-733378",1593,07-Dec-00,07-Dec-10,07-Dec-15,Khulna,Bangladesh,
33,"Advance Life
Organization (ALO)","House-568, East Badda, Krishi Bak
Road, Badda, Dhaka",3055,08-Dec-16,,08-Dec-21,Dhaka,Bangladesh,
34,Agape,"Noni Bhaban (4th Floor), Uzani
Para, Bandarban-4600
Phone: 0361-63255, Fax: 0361-
63255",2166,23-Nov-06,23-Nov-16,23-Nov-26,Bandarban,Bangladesh,
35,Agape Bangladesh,"Vill.: Goaljani, Post: Purnimagati,
Upazilla: Ullapara, Dist: Sirajgonj.",2032,21-Apr-05,21-Apr-15,21-Apr-25,Sirajganj,Bangladesh,
36,Agape Social Concern,"39/1 Indira Road, West Rajabazar,
Farmgate, Dhaka.
Phone: 9114299, Fax: 8122286",1135,13-Feb-97,13-Feb-17,13-Feb-22,Dhaka,Bangladesh,
37,"Agency for Integrated
Development","237 Bhagalpur, Savar, Dhaka
Phone: 01715-110494",406,13-Nov-90,13-Oct-05,13-Oct-10,Dhaka,Bangladesh,
38,Agradut Sangstha-AS,"House-0522/01, Kalibari Road,
Bhola Sadar, Bhola.
Mobile: 01714799705
email: as.ngo.bhola@gmail.com
www.agradutsangstha.org",3042,10-Oct-16,10-10-21,09-Oct-31,Bhola,Bangladesh,
39,"Agragami Social
Welfare Foundation","Village: Vekutia, Post: Vekutia,
Kawkhali, Dist: Pirojpur,
Mob: 01725132113",3184,06-Jan-19,,06-Jan-29,Barisal,Bangladesh,
40,Agragati,"Kak Bandhal, Sarutia, Thana:
Keshabpur, Jessore",746,02-Sep-93,02-Sep-03,02-Sep-08,Jessore,Bangladesh,
41,"Agragati Seba
Sangstha (ASS)","Jangua, Nowakandi, Moulavibazar,
Post: Vaterchar, Upazilla: Belabo,
Dist: Narsingdhi
Phone: 01266287800",2592,29-Aug-10,29-Aug-20,28-Aug-30,Narsingdhi,Bangladesh,
42,"Agrajatra Samaj
Unnayan Sangstha","Rajarhat, PO & PS: Rajarhat, Dist:
Kurigram
Phone: 01928-993070",2747,18-Nov-12,,18-Nov-17,Kurigram,Bangladesh,
43,Agrajattra,"126, Jamal Khan Road (3rd Floor),
PO: Anderkilla, PS: Kotwali,
Chittagong.
Phone: 031-612352, Fax: 031-
612352",2093,08-May-06,08-May-21,07-May-31,Chittagong,Bangladesh,
44,"Agrani Mohila Unnayan
Sangstha","226, Tatipara, Nilganj, Jessore-
7400.
Phone : 0421-74036",1880,15-Oct-03,15-Oct-18,15-Oct-28,Jessore,Bangladesh,"Cancelled on
13/04/2010,
Revived on
29/09/2011"
45,"Agrasar Buddha
Anathalaya","Vill: Hoarapara, PO: East Gogra,
Raozan, Chittagong
Phone: 01817-724360",81,22-Apr-81,15-May-20,15-May-30,Chittagong,Bangladesh,
46,"Agrasara Memorial
Society of Bangladesh","Hoarapara, P.O.: East Gugra, P.S.:
Rawzan, Dist.: Chittagong",2478,13-Sep-09,,13-Sep-14,Chittagong,Bangladesh,
47,"Agriculture Advisory
Society","House-13/14 (1st floor), Salimullah
Road, Block-D, Mohammadpur,
Dhaka-1207
Tel: 880-02-58152151, email:
harunaas@gmail.com, web:",1015,04-Mar-96,04-Mar-16,04-Mar-21,Dhaka,Bangladesh,
48,"Agriculture Sustainable
and Socio Economic
Development
Organization (ASSEDO)","House-575, Road-01, Padma R/A,
Vadra, Rajshahi.
Phone: 01711-016076",2103,08-Jun-06,08-Jun-21,07-Jun-31,Rajshahi,Bangladesh,
49,"Agro-based Socio
Economical
Development Services
(ASEDS)","House-38, Road-07, Block-A,
Section-12, Pallabi, Mirpur, Dhaka-
1216
Mob: 01711224696",3225,14-Nov-19,,14-Nov-29,Dhaka,Bangladesh,
50,Agrogoti Sangstha,"Cold Storage More, Mil Bazar,
Satkhira.
Phone: 0471-63870
www.agrogoti.org",1963,23-Sep-04,23-Sep-19,23-Sep-29,Sathkhira,Bangladesh,
51,"Ahmmad Ali Sarker
Sritee Sangho","Chandipur, Sundarganj, Gaibandha,
Mob: 01740557960",3250,15-Oct-20,,15-Oct-30,Gaibandha,Bangladesh,
52,Aid Bangla,"1, Outer Circular Road, Malibagh,
Dhaka-1217
Phone: 9349681",1857,20-Jul-03,20-Jul-08,20-Jul-13,Dhaka,Bangladesh,"Cancelled on
25/10/2010,
Revived on
18/08/2011"
53,"Aid for Poor People
(APP)","House-801, Road-14, Khilgoan,
Block-A, Akota Sarak, Khilgaon,
Dhaka.
Phone: 7215830, 01711-523399",2005,06-Feb-05,06-Feb-20,06-Feb-30,Dhaka,Bangladesh,
54,AID Foundation,"AID Complex, Shatbaria, Jhenaidah
Phone : 0451-61188-9, Fax: 0541-
61196
email: info@aid-bd.org
www.aid-bd.org",1319,30-Nov-98,30-Nov-18,30-Nov-28,Jhenaidah,Bangladesh,
55,Aid Organization,"Jaifia Plaza, Nobogram Road,
Barisal-8200
Phone: 01718665198
www.aidobd.org",2595,05-Sep-10,05-Sep-20,05-Sep-30,Barisal,Bangladesh,
56,"Aids Awareness
Foundation","196, Shahjahan Road,
Mohammadpur, Dhaka-1207
Phone: 8111402, Fax: 8114513",883,03-Jan-95,03-Jan-15,03-Jan-20,Dhaka,Bangladesh,
57,"AIM (Aunannyo Initiative
for Mankind
Development)","Upazila parisad Road, Chowgacha,
Jessore",3130,04-Jan-18,,04-Jan-28,Jessore,Bangladesh,
58,"AIMS (Association of
Integrated Management
for Survivors)","Vill: Thakuradah Union, Berabil,
Upazilla: Ganggachara, Dist:
Rangpur.
Phone: 01717-676848",2991,22-Dec-15,22-Dec-20,22-Dec-30,Rajshahi,Bangladesh,
59,Ain-O-Salish Kendra,"7/17, Block-B, Lalmatia, Dhaka.
Phone: 8126047, 8126134
www.askbd.org",721,28-Jun-93,28-Jun-18,28-Jun-28,Dhaka,Bangladesh,
,,,,,,,,,
60,Akaas Foundation,"A-65, Uttarpara, Saver, Dhaka-
1340
Phone: 7741785",2277,11-Oct-07,11-Oct-17,11-Oct-27,Dhaka,Bangladesh,
61,"Akkel Ali Master
Foundation","Mulgaon, PO: goshairhat,
Goshairhat, Shariatpur
Phone: 01740991323",3048,01-Nov-16,01-11-21,31-Oct-31,Shariatpur,Bangladesh,
62,Akota,"Village: Kumarpara, P.O: Kholahati,
Thana+Dist: Gaibandha
Phone: 01711-578422",1434,06-Oct-99,06-Oct-19,06-Oct-29,Gaibandha,Bangladesh,
63,"Akota Samaj Unnayan
Sangstha (ASUS)","45, Mitali Road, Rayer Bazar,
Dhaka.
Phone : 8122550",1580,30-Oct-00,30-Oct-05,30-Oct-10,Dhaka,Bangladesh,
64,"Al Ihsan Social
Development Center","Vill+Post: Hasara, Upazila:
Sreenagar, Dist.: Munshigonj
Phone: 01726-151365
www.aiwvc.com",2360,20-May-08,20-May-18,20-May-28,Munshiganj,Bangladesh,
65,"Al Jameatul Islamiah Al
Arabia Mozaher Ulum","Char Chaktai, Chittagong",947,20-Jun-95,20-Jun-10,20-Jun-20,Chittagong,Bangladesh,
66,Al Jamiah Al Islamiah,"PO: Al-Jamia, P.O. Patiya,
Chittagong
Phone: 031-310492, 01819-346465",748,09-Feb-93,02-Sep-13,02-Sep-18,Chittagong,Bangladesh,
67,"Al Manahil Welfare
Foundation Bangladesh","Nanupur, Fatikchari, Chittagong
Phone: 01819-618781",3023,19-May-16,19-05-21,19-May-31,Chittagong,Bangladesh,
68,Al Markazul Islami,"21/17, Babar Road, Mohammadpur,
Dhaka
Phone : 8114980, Fax: 8116739",685,03-Mar-93,03-Mar-18,03-Mar-28,Dhaka,Bangladesh,
69,"Al -Watan Charitable
Society","Vill+Post: Padua-353,
Chouddagram, Comilla
Phone: 01720-691594, 01819-
628685",2402,18-Jan-09,18-Jan-19,18-Jan-29,Comilla,Bangladesh,
70,"Al-Amanah Samaj
Kallayan Sangstha","Mujgannikhan-A-Sabur Road, PO:
Khalishpur, Khulna.
Phone: 041-760406",2027,09-Apr-05,09-Apr-10,09-Apr-15,Khulna,Bangladesh,
71,Al-Falah Bangladesh,"9/16 Iqbal Road, Mohammadpur,
Dhaka
Phone : 8130827
www.alfalah.com.bd.",417,10-Dec-90,13-Dec-20,13-Dec-30,Dhaka,Bangladesh,
72,"Alhaj Khodeja Amin
Foundation","Selonda, Shanthia, Pabna
Phone: 01711355542",3100,01-Nov-17,,01-Nov-27,Pabna,Bangladesh,
73,"Al-haj Safura Begum
Shishu Shadan","Hathuria, Ghatakhan, Goshairhat,
Shariatpur,
Mob: 01711565065",3230,04-Jan-20,,04-Jan-30,Shariatpur,Bangladesh,
74,"Alhaj Shamsul Hoque
Foundation","Golam Ali Nazir Bari, Chandgaon,
Chittagong, Mob: 01819385938",3201,23-Jun-19,,23-Jun-29,Chittagong,Bangladesh,
,,,,,,,,,
75,"Allama Abul Khair
Foundation","Vill.: Raroapara, Post: Chunnapara,
Upazilla: Anowara, Dist.:
Chittagong.
Www.aakfoundation.org",2142,08-Oct-06,08-Oct-21,08-Oct-31,Chittagong,Bangladesh,
76,"Allama Fazlullah
Foundation","Vill: Babunagar (Mokkarbari), PO:
Deodighi, UZ: Satkania, Dist:
Chittagong.
Phone: 031-2551654",1770,01-Dec-02,01-Dec-17,01-Dec-27,Chittagong,Bangladesh,
77,"Alliance for Cooperation
and Legal Aid
Bangladesh (ACLAB)","8/13, Block-C, Tajmohal Road,
Mohammadpur, Dhaka-1207.
www.aclabbd.org",2053,01-Jan-06,12-Oct-20,12-Oct-30,Dhaka,Bangladesh,
78,"Al-Manar Islami
Sangstha","Shaltha, Faridpur.",1843,18-Jun-03,18-Jun-08,18-Jun-13,Faridpur,Bangladesh,
79,"Aloha Social Services
Bangladesh","Ali Manjil, Balubari, Dinajpur-5200
Phone :0531-64644",1532,07-Jun-00,07-Jun-15,07-Jun-20,Dinajpur,Bangladesh,
80,"Alok Bangla (An
Initiative to Promote
People's Self-Help)","House-119, Road-07, Shah Ali
Bagh, Mirpur-1, Dhaka.
Phone: 9012393",2484,29-Sep-09,29-Sep-19,29-Sep-29,Dhaka,Bangladesh,
81,"Alokito Manob Unnayan
Songstha (AMUS)","JNC Road-1, House-215,
Alamnagar, Rangpur.
Phone: 01718644757",3083,11-Jan-17,,11-Jan-22,Rangpur,Bangladesh,
82,Alokito Path,"Montana, Satkania, Chittagong.",2153,06-Nov-06,06-Nov-16,06-Nov-26,Chittagong,Bangladesh,
83,Alokon,"103/A, Mohammadpur, Pachlaish,
Chittagong.
Phone : 01711-122580, 031-
650547",1892,09-Dec-03,09-Dec-18,09-Dec-28,Chittagong,Bangladesh,
84,"Jago Nari Unnayon
Sangstha (JNUS)","Ramu College Gate, Ramu,
Cox'sBazar
Phone: 01823929075",2453,02-Jun-09,02-Jun-19,01-Jun-29,Cox'sBazar,Bangladesh,
85,"Alor Dishari Sangstha
(ADS)","Malotinagar, Dubil,
Raygonj,Sirajgonj.",2265,26-Aug-07,26-Aug-22,25-Aug-32,Sirajganj,Bangladesh,
86,"Alor Dishary Mohila
Unnayan Sangstha","Goalanda, Rajbari
Phone: 01727-211905",2961,25-Aug-15,25-Aug-20,25-Aug-30,Dhaka,Bangladesh,
87,"Alor Pathe Nobojatray
Foundation","74/B/1, RH Home Center, Suite-
641, Level-7, Green Road,
Farmgate, Dhaka
Phone: 01534508932
www.aponfoundation.org",3027,09-Jun-16,09-06-21,08-Jun-31,Dhaka,Bangladesh,
88,Alor Pothey,"Vill: Madhupur, P.O: Dharoni Bari,
P.S: Ulipur, Dist: Kurigram",1124,26-Jan-97,26-Jan-17,26-Jan-27,Kurigram,Bangladesh,
89,Aloran,"Vill.: West Gomdhandi Prathomic
Shikkhak Bhaban, Buripukurpar,
Post+Upazilla: Boalkhali, Dist.:
Chittagong.
Phone: 01711-487884",2205,08-Mar-07,08-Mar-12,08-Mar-17,Chittagong,Bangladesh,
,,,,,,,,,
90,Alore Disha Foundation,"College Para, Upazila : Kalia, Dist: Narail
Mob: 0172659247",3172,14-Nov-18,,14-Nov-28,Narail,Bangladesh,
91,"Aloshika Social
Development
Organization","Vill: Auliapur, PO: Maydan
Madrasha, Upazila: Patuakhali
Sadar, Dist: Patuakhali.
Phone: 01924699282",3012,29-Feb-16,,28-Feb-21,Patuakhali,Bangladesh,
92,"Aloshikha Rajihar
Social Development
Centre","Vill. & P.O. Rajihar, Agailjhara,
Barisal",324,01-Nov-89,11-Jan-19,11-Jan-29,Barisal,Bangladesh,
93,"Aloshikha Womens
Welfare Association","House-09(4th Floor), Road-02,
North Adabor, Baitul Aman Housing
Society, Adabor, Dhaka
Phone: 01819-251911",2849,20-Feb-14,,20-Feb-19,Dhaka,Bangladesh,
94,Alternative Approach,"Azim Monjil, Bayrapur, Comilla.
Phone: 01915794195",1895,23-Dec-03,23-Dec-13,22-Dec-23,Comilla,Bangladesh,
95,"Alternative
Development Initiative","11/1, Iqbal Road, Block-A (Ground
Floor), Mohammdpur, Dhaka
Phone : 9126810",902,18-Feb-95,18-Feb-05,18-Feb-10,Dhaka,Bangladesh,
96,"Alternative
Development Society
(ADS)","Vill.: Arajigopinatpur, Post:
Gowrigram, Upazilla: Sathia, Dist.:
Pabna.",2321,23-Mar-08,23-Mar-13,23-Mar-18,Pabna,Bangladesh,
97,"AMAN (Association for
Mass Advancement
Network)","2/2, Lalmatia, Block-A, Mirpur
Road, Dhaka.
Phone: 01711-486534, Fax:
8356249
www.amanbd.org",980,19-Oct-95,19-Oct-20,19-Oct-30,Dhaka,Bangladesh,
98,"Amar Hasna Meherun
Ness Jano Kallayan
Sangstha","House-05, Road-15, Sector-14,
Uttara, Dhaka.",2756,26-Dec-12,,26-Dec-17,Dhaka,Bangladesh,
99,Ambala Foundation,"House-67, Block-Ka, Piciculture
Housing Society, Shyamoli, Dhaka.
Phone: 9120040, 9110740",952,28-Jun-95,28-Jun-20,28-Jun-30,Dhaka,Bangladesh,
100,"AMCB Foundation
Bangladesh","Plot-3/1, Block-F, Lalmatia, Dhaka.
Phone: 01819243401",3091,24-Oct-17,,24-Oct-27,Dhaka,Bangladesh,
101,"Amity Manab Unnayan
Sangstha","Anwar Tower, Ragunathpur Bazar,
Kachua, Dist: Chandpur.
Phone: 01717-005315",2932,21-May-15,21-May-20,21-May-30,Chandpur,Bangladesh,
102,Amra Desher Shokti,"Gorostan Road, Biswas Para, Dist:
Joypurhat",2815,17-Sep-13,17-Sep-18,17-Sep-28,Joypurhat,Bangladesh,
103,Amra Kaj Kory (AKK),"Alhaj Ali Alal Cheste Mohal,
Jhiltuly, Faridpur
Phone: 0631-63944",715,06-Jun-93,06-Jun-18,06-Jun-28,Faridpur,Bangladesh,
104,AMRAH,"Vill. Barkal, P.O. Islamabad,
Chandanaish, Chittagong
Phone: 031-650511",379,06-May-90,06-May-20,05-May-30,Chittagong,Bangladesh,
105,"Amrai Pari Paribarik
Nirzaton Pratirodh Jote","House-6/4A (3rd Floor), Sir Sayed
Road, Mohammadpur, Dhaka
Phone: 9130265",2871,23-Jul-14,23-Jul-19,23-Jul-29,Dhaka,Bangladesh,
106,"AMWAB (Association of
Muslim Welfare
Agencies in
Bangladesh)","Room-01 (2nd Floor), Bangladesh
Mosjed complex, New Elephant
Road, Katabon, Dhaka-1000
Phone: 8650634, Fax: 8650634",687,06-Mar-93,06-Mar-13,06-Mar-18,Dhaka,Bangladesh,
107,"An Organization for
Socio Economic
Development (AOSED)","334, Sher-A-Bangla Road (1st
Floor), Khulna-9100
Phone: 041-813574, 041-731931
www.aosed.org",2235,27-May-07,27-May-17,27-May-27,Khulna,Bangladesh,
108,"Anabia Charitable
Organization","Katabaria, Baonara, Rajbari,
Cel: 01717900304",3143,01-Apr-18,,01-Apr-28,Rajbari,Bangladesh,
109,Anando,"134/3A, Babar Road, Block-A,
Mohammadpur, Dhaka.
Phone: 8119760
www.anando-bd.org",1180,18-Aug-97,18-Aug-17,18-Aug-27,Dhaka,Bangladesh,
110,"Anannya Jubo Mohila
Samiti (AJMS)","27, Nutunbazar, Approach Road,
Khulna-9100
Phone : 041-721934",1743,05-Oct-02,05-Oct-07,05-Oct-12,Khulna,Bangladesh,
111,"Anannya Samaj Kallyan
Sangstha","House-470 (1st Floor), Road-08,
DOHS, Baridhara, Dhaka-1206
Phone: 8956854",955,09-Jul-95,09-Jul-15,09-Jul-20,Dhaka,Bangladesh,
112,"Andho Kollyan Samity-
Patuakhali","Koler Pukur Par, Patuakhali
Phone: 01716-238990",2722,01-Aug-12,,01-Aug-17,Patuakhali,Bangladesh,
113,"Angikar Jonokollyan
Sangstha","22, Tatipara, Sylhet-3100
Phone: 0821-711422",1921,01-Mar-04,01-Mar-09,01-Mar-14,Sylhet,Bangladesh,
114,"Angikar Manob Kalyan
Kendra","Goorgola, PS: Kotwali, Dinajpur-
5200
Phone : 0531-65950, Fax: 9136297",1795,02-Jan-03,10-Feb-13,10-Feb-18,Dinajpur,Bangladesh,
115,"Animation Liberate for
Organize (ALO)","Village: Noadagram, P.O.+Dist:
Jessore
Phone : 73823",1711,01-Apr-02,01-Apr-17,01-Apr-27,Jessore,Bangladesh,
116,"Anirban Samaj Unnayan
Sangstha (ASUS)","Nahar Mansion, Gorosthan Road,
Patuaakhali.
Phone: 0441-62066",2334,17-Apr-08,17-Apr-18,17-Apr-28,Patuakhali,Bangladesh,
117,"Ankur ICT Development
Foundation","House No.-65, Road-06, Sector-04,
Uttara, Dhaka.
Www.ankur.org.bd",2466,06-Jul-09,,06-Jul-14,Dhaka,Bangladesh,
118,"Annesha Foundation
(AF)","31/2, Senpara Parbatta, Mirpur-10,
Dhaka.
Phone: 8061693, Fax: 9005638
www.annesha-foundation.org",549,23-Oct-91,23-Oct-11,23-Oct-16,Dhaka,Bangladesh,
119,"Annopurna
Janakallayan Sangstha","Seroil Railway Market, Block-B,
Room-60, Goramara, Boalia,
Rajshahi.
Phone: 811399",2839,25-Nov-13,,25-Nov-18,Rajshahi,Bangladesh,
,,,,,,,,,
120,"Antar Society for
Development","House-14(1st Fl.), Road-12, Block-
Kha, Pisciculture Housing society,
Shekhertek, Adabor,
Mohammadpur, Dhaka-1207
Phone: 9144502, Fax: 9144502",1740,19-Sep-02,19-Sep-17,19-Sep-27,Dhaka,Bangladesh,
121,Anukul Foundation,"Plot-61, Road-03, Block-Ka,
Piciculture Housing Society,
Shyamoly, Mohammadpur, Dhaka-
1207
Phone: 01727-211905",2972,28-Sep-15,28-Sep-20,28-Sep-30,Rajbari,Bangladesh,
122,Anuvab,"Thana Para Road, Boda,
Panchagar
Phone: 05653-56180, 01712-
676857",1473,20-Jan-00,20-Jan-15,20-Jan-25,Panchagar,Bangladesh,
123,Aparajeyo Bangladesh,"Sornali Garden-Probal,
14/3/A, Baishteki (Opposite BRTA
Maingate), Mirpur-13, Dhaka-1216
Phone: 9021261-63, Fax: 9029556
www.aparajeyo.org",908,21-Feb-95,21-Feb-20,21-Feb-30,Dhaka,Bangladesh,
124,Apex,"House-83, Road-23, Gulshan-1,
Dhaka.
Phone: 01713-046662, 9862109",1645,07-Jun-01,07-Jun-16,07-Jun-21,Dhaka,Bangladesh,
125,Apex Foundation,"Mulghar Govt. High School More,
PO: Mulgar, PS: Fakirhat, Bagerhat
Phone: 01818-225120",2884,21-Aug-14,21-08-19,20-Aug-29,Bagerhat,Bangladesh,
126,ARA,"Rasulpur, Sadar, Satkhira",3131,07-Jan-18,,07-Jan-28,Sathkhira,Bangladesh,
127,"Arafah Shakti
Foundation","32/8 Ka(3rd Fl.), Block-C,
Tajmahal Road, Mohammadpur,
Dhaka-1207
Phone: 9123412, 9104581, Fax: 02-
9136697",2795,19-Jun-13,,19-Jun-18,Dhaka,Bangladesh,
128,ARAM Foundation,"P.O:Rajbati, Thana: Kotwali, Dist:
Dinajpur",1606,03-Jan-01,,03-Jan-06,Dinajpur,Bangladesh,
129,"Area Develoment
Organization (ADO)","Katakhali Bazar
Keshabpur, Jessore.
Phone:01927-367329",1871,13-Sep-03,13-Sep-13,13-Sep-18,Jessore,Bangladesh,
130,ARK Foundation,"132/A, Niketon, Road-3, Gulshan,
Dhaka
Phone: 9871585",2837,25-Nov-13,25-Nov-18,25-Nov-28,Dhaka,Bangladesh,
131,"Arnout Education and
Growth Foundation","152/A (2nd Floor), Benapole Road,
Railgate, Chanchra, Jessore
Phone: 01713-409465",2536,01-Feb-10,01-Feb-20,31-Jan-30,Jessore,Bangladesh,
132,"Arshi Nagar Sebamulak
Unnayan Sangstha","LGED Road, Lalmonirhat Sadar,
Lalmonirhat-5500
Phone: 01737-908442",2501,25-Oct-09,25-Oct-19,25-Oct-29,Lalmonirhat,Bangladesh,
133,Arter Asha,"Senpara, Rangpur
Phone : 62269",643,05-Aug-92,05-Aug-02,05-Aug-07,Rangpur,Bangladesh,
134,"Aruni Samaj Kallayan
Sagstha","Bakpara, Chowgacha, Jessore
Phone: 01712350175",3060,14-Dec-16,14-12-21,13-Dec-31,Jessore,Bangladesh,
,,,,,,,,,
